,account_value
0,1122785.125
1,1122854.1740483753
2,1122765.6413055633
3,1122765.6413055633
4,1122765.6413055633
5,1122765.6413055633
6,1122765.6413055633
7,1123879.223912071
8,1123073.8694145689
9,1127404.326949801
10,1129597.0567678278
11,1129258.7504685132
12,1129258.7504685132
13,1129258.7504685132
14,1129258.7504685132
15,1129258.7504685132
16,1129258.7504685132
17,1129258.7504685132
18,1129258.7504685132
19,1129258.7504685132
20,1129258.7504685132
21,1129258.7504685132
22,1128958.5487449865
23,1130683.9127336845
24,1130564.3664122997
25,1130564.3664122997
26,1130564.3664122997
27,1130564.3664122997
28,1130564.3664122997
29,1130564.3664122997
30,1130564.3664122997
31,1130564.3664122997
32,1130564.3664122997
33,1130564.3664122997
34,1130564.3664122997
35,1130564.3664122997
36,1130564.3664122997
37,1130564.3664122997
38,1130564.3664122997
39,1130564.3664122997
40,1130564.3664122997
41,1130564.3664122997
42,1130564.3664122997
43,1130564.3664122997
44,1130564.3664122997
45,1130564.3664122997
46,1130564.3664122997
47,1130564.3664122997
48,1130564.3664122997
49,1130564.3664122997
50,1130564.3664122997
51,1130564.3664122997
52,1130564.3664122997
53,1130564.3664122997
54,1130564.3664122997
55,1130564.3664122997
56,1130564.3664122997
57,1130564.3664122997
58,1130564.3664122997
59,1130564.3664122997
60,1130564.3664122997
61,1130564.3664122997
62,1130564.3664122997
