,account_value
0,1130564.375
1,1134465.0336013185
2,1134357.2222498078
3,1134357.2222498078
4,1135541.5037280894
5,1135422.41536113
6,1135422.41536113
7,1135330.0242380425
8,1135271.597310836
9,1135271.597310836
10,1135271.597310836
11,1132699.0228068475
12,1132196.8394796723
13,1135088.378561623
14,1143090.2367625441
15,1135358.5334251812
16,1131675.8279206967
17,1142316.9030080591
18,1144901.77486591
19,1145609.410015232
20,1156323.7580176087
21,1159946.11186552
22,1153943.213510659
23,1152846.345821984
24,1153089.0178026478
25,1155538.185430894
26,1160413.6992282623
27,1159208.9418959022
28,1162364.425318208
29,1165419.9652843312
30,1164960.909309754
31,1164960.909309754
32,1164960.909309754
33,1165641.916705842
34,1165560.5049331465
35,1165560.5049331465
36,1164915.3988602192
37,1164763.7361136768
38,1167222.4282357586
39,1166764.9613524608
40,1166479.7114426692
41,1165320.8570509134
42,1163186.469697224
43,1163829.0456760689
44,1167084.9926223252
45,1170312.3552639696
46,1173766.2866395598
47,1174540.923921764
48,1174090.5620219016
49,1185396.3332156616
50,1192527.1965505653
51,1192353.3532435107
52,1203926.6862292527
53,1193937.6647788328
54,1200536.30719922
55,1209142.9249573725
56,1211615.985445691
57,1217293.1732823031
58,1227258.2035265996
59,1238685.0417888658
60,1239350.8942056783
61,1245738.4889736094
62,1243794.8750577092
