,account_value
0,1009369.002407074
1,1005065.1637917944
2,1006248.0133581808
3,1004690.9413973185
4,1006004.8025374565
5,1000546.6332605218
6,990220.5394766533
7,981656.730985126
8,989020.76339221
9,981425.68232655
10,982013.69501618
11,989606.8028256046
12,985508.95677096
13,995899.7746493921
14,1010064.0010411266
15,1016960.6559010879
16,1020105.2682257908
17,1014667.0150503507
18,1014228.7043078806
19,1019605.9989869528
20,1026742.3750421904
21,1026127.1356483735
22,1029920.3720098581
23,1025752.7766983383
24,1031732.913629071
25,1047700.9880753334
26,1046653.2899523308
27,1046653.2899523308
28,1046653.2899523308
29,1046653.2899523308
30,1046653.2899523308
31,1046653.2899523308
32,1046653.2899523308
33,1046653.2899523308
34,1046653.2899523308
35,1046653.2899523308
36,1046653.2899523308
37,1046653.2899523308
38,1046653.2899523308
39,1046653.2899523308
40,1046653.2899523308
41,1046653.2899523308
42,1045940.1577391264
43,1045833.2547477663
44,1045920.0535188062
45,1046283.6149542115
46,1046178.9367356467
47,1045621.4979498063
48,1046363.1626697746
49,1045093.2625888003
50,1043316.1647271204
51,1041646.3241377935
52,1046738.0122724777
53,1031028.9783083601
54,1027710.6858320872
55,1030814.3340909698
56,1030449.300533524
57,1030449.300533524
58,1030449.300533524
59,1031281.545165346
60,1029838.9977931511
61,1029571.6393095952
62,1029411.471113763
