,0
0,1000000.0
1,999809.3930888709
2,1000629.9123228027
3,1001833.5423010269
4,994670.246486187
5,995626.1733338197
6,1000030.7104051849
7,995479.9724561954
8,996205.9989025285
9,994373.235614789
10,997571.5013468843
11,991403.3444020838
12,983979.3314154721
13,979419.9657856892
14,964415.8755221467
15,971631.2029660653
16,967224.3613197677
17,963150.3121053013
18,977873.16089107
19,973002.9360742827
20,995830.040629532
21,990295.7540461683
22,986729.8437767013
23,996198.5407762408
24,1008983.5887518126
25,1001902.4012155723
26,1018945.9098807137
27,1045588.269585362
28,1048134.1730421123
29,1040618.23014487
30,1039082.1533391337
31,1057185.5619459017
32,1009912.7769970977
33,1020776.4304524565
34,1001886.5755746099
35,1000475.8974428771
36,984944.1081951561
37,1000442.7688382446
38,1001567.4684692163
39,993592.8236299523
40,995910.375376193
41,994219.9976282555
42,981300.1320968176
43,947392.1247830495
44,947954.9855860198
45,945451.585513432
46,950933.2382107822
47,935509.8630548207
48,940164.7216111771
49,951554.1306020999
50,950300.4879467234
51,950161.7212565963
52,943427.9455411425
53,932014.8649994921
54,903933.326817312
55,911003.6666848038
56,917812.4490471953
57,929718.0812804997
58,964897.1252385465
59,971183.5801125278
60,984238.4793730272
61,977743.1364552255
62,970146.2832456401
63,991834.7429051751
64,1020300.8013430422
65,1033819.9853319472
66,1047820.9772963084
67,1049976.7507256607
68,1050466.8576080136
69,1037796.6022711853
70,1025064.904603763
71,1033739.6541530162
72,1028752.3746663501
73,1037867.4192654983
74,1035719.8664917898
75,993946.9968851857
76,1004913.5855797189
77,1005400.1336397614
78,1021037.6334169555
79,1031168.5311863055
80,1037646.3824510066
81,1044408.3566524632
82,1052853.7925602205
83,1035917.9454801362
84,1045873.7574907112
85,1039589.2651629926
86,1024190.7424306299
87,1042040.7573524639
88,1035522.1095993386
89,1026034.9533327087
90,1039422.0628276926
91,1027061.5490266752
92,1027723.6450220755
93,1009998.9363885346
94,1003349.0255043599
95,951348.3714377435
96,925775.6774376747
97,926337.895739093
98,934821.5688105235
99,930081.3754733254
100,945537.3593336386
