,account_value
0,1277912.9363155365
1,1287968.996236177
2,1276296.0566644596
3,1285686.469006178
4,1290226.0613012349
5,1292175.2743763619
6,1291314.1425037058
7,1297178.5335818608
8,1296044.3265082308
9,1293729.516540595
10,1285370.6195575092
11,1293790.713734434
12,1273400.8541074174
13,1269889.5350681925
14,1272107.7381145032
15,1270835.6327586025
16,1270835.6327586025
17,1270835.6327586025
18,1270835.6327586025
19,1270835.6327586025
20,1270835.6327586025
21,1270835.6327586025
22,1270835.6327586025
23,1271079.9530293087
24,1270410.8724685165
25,1270009.7385270467
26,1270796.4281675662
27,1271290.2941147154
28,1267585.0746712403
29,1266193.171173886
30,1271197.4762486613
31,1278732.0218053367
32,1274638.1926931124
33,1276546.9847756862
34,1274861.9533502841
35,1276582.9977759684
36,1284848.1900540646
37,1296443.2622795135
38,1300689.8509282363
39,1295544.2798000579
40,1288654.9058142982
41,1281937.0784385318
42,1282137.1697501976
43,1289859.5754037919
44,1297573.220769946
45,1300124.68021175
46,1293032.6717733757
47,1298284.2362073998
48,1296282.1986461692
49,1300082.1056687539
50,1307556.8476401397
51,1315755.8888293563
52,1307428.1872928431
53,1306120.7594214913
54,1306120.7594214913
55,1306120.7594214913
56,1305893.8155265292
57,1306034.6627817666
58,1304755.46385163
59,1300499.3370471303
60,1301381.4153811624
61,1308139.5835976196
62,1305546.0617391886
