,rewards
0,605.4220043201931
1,-138.4004120855825
2,-5621.019153461675
3,-3006.0697646699846
4,1186.1946316889953
5,2652.933144089766
6,-13834.155406088685
7,5527.177041065064
8,-9788.639384952607
9,2512.3355135968886
10,-6814.493764618761
11,3119.7975317641394
12,9892.191385551356
13,-11437.359239137731
14,8318.955212950823
15,-15291.262875618413
16,361.1674834745936
17,21160.429691376165
18,5677.428862209315
19,-24908.602606638917
20,4270.248434722889
21,3897.9247176576173
22,-32851.03116968169
23,-8732.054487323738
24,9369.272329731146
25,-1090.6885243108263
26,-16037.239510725369
27,17760.833271629293
28,22301.402797317365
29,21178.690361690708
30,-7957.369666682673
31,-3142.4621654809453
32,20165.508547483245
33,-15847.26609804621
34,18699.67815049668
35,16234.680741993827
36,-4724.09832875384
37,-148.424639631412
38,19974.078945509158
39,1924.35446070123
40,2259.381915411912
41,8118.383055075887
42,-4880.98274624825
43,-12092.047399227507
44,5319.170641414239
45,-834.7353861555457
46,14920.24055446114
47,2427.450674083666
48,-1760.0936050072778
49,6139.166064668214
50,9986.041212641168
51,6314.781700193882
52,-1781.814175897278
53,-5100.236926640617
54,-9895.638768775621
55,610.5094442649279
56,147.70139710744843
57,13466.804479230195
58,5520.689327788306
59,89.71085254475474
60,9790.704111777013
61,-1982.590273886919
