,rewards
0,-1467.0003757199738
1,2852.0291503155604
2,-313.90595798229333
3,90.51052778761368
4,5541.4980673629325
5,-2658.5090925419936
6,5267.635907201795
7,-479.5312543589389
8,666.3917795360321
9,9366.153739692294
10,-256.5861263201805
11,-2913.5315096832346
12,-4495.504504316719
13,5446.004171268083
14,1414.0269338180078
15,-5957.1687457772205
16,8548.06803225202
17,171.14814453269355
18,961.8115339495707
19,1193.2639204815496
20,1041.3240671984386
21,640.8311458006501
22,4666.909120768076
23,-32.328785222023726
24,4787.882914045593
25,-10013.001255953219
26,1880.3133337274194
27,15573.256797867361
28,481.0258286851458
29,2830.8417036558967
30,-18321.89591427869
31,-1492.1176625823136
32,-504.61890813615173
33,11939.829699757043
34,-4899.635609204415
35,-680.1641661087051
36,809.0046777338721
37,5595.760832503671
38,5513.629953931784
39,4114.319020695053
40,2316.5633911343757
41,-3940.0328942516353
42,-9417.008721649414
43,-226.48560966458172
44,9755.65277725691
45,-4164.5116062483285
46,14708.217703819508
47,-3589.5830262687523
48,-3931.3462191349827
49,3824.742492281832
50,7572.937051632907
51,3788.536227993667
52,3988.2507287627086
53,2877.9280708022416
54,-6062.852745450335
55,4021.3495587552898
56,-19058.438666040543
57,-3259.1441270341165
58,7014.288396173157
59,3731.1704193707556
60,5502.127434402937
61,6353.0246390253305
