,Close
,^GSPC
Date,
2016-01-04,0.0
2016-01-05,0.0020122259542274534
2016-01-06,-0.011129561890064643
2016-01-07,-0.03456622935712539
2016-01-08,-0.04502996201231324
2016-01-11,-0.04421511269817868
2016-01-12,-0.03675731579720187
2016-01-13,-0.06080510508705539
2016-01-14,-0.045124395981952836
2016-01-15,-0.06574884773271439
2016-01-19,-0.06525199283272254
2016-01-20,-0.07618280063254379
2016-01-21,-0.07138316531627709
2016-01-22,-0.052547379075239764
2016-01-25,-0.06736362615768798
2016-01-26,-0.054172104302410484
2016-01-27,-0.064447090320785
2016-01-28,-0.059274813829524264
2016-01-29,-0.0359822536918557
2016-02-01,-0.036409541627700825
2016-02-02,-0.05447020511215894
2016-02-03,-0.04975008356223609
2016-02-04,-0.04829930607104893
2016-02-05,-0.06588792100977514
2016-02-08,-0.0791092832716439
2016-02-09,-0.07972040509443667
2016-02-10,-0.07989429217918731
2016-02-11,-0.09121266135729822
2016-02-12,-0.07347490503684839
2016-02-16,-0.05817181050783826
2016-02-17,-0.0426500682841906
2016-02-18,-0.047116788983018965
2016-02-19,-0.0471415953372788
2016-02-22,-0.03336879206579979
2016-02-23,-0.045407576588405774
2016-02-24,-0.04116938973517914
2016-02-25,-0.03028831594634329
2016-02-26,-0.032101787810327354
2016-02-29,-0.03996206629288934
2016-03-01,-0.017047120731313203
2016-03-02,-0.013022608171625483
2016-03-03,-0.009569430225942255
2016-03-04,-0.006295173417340982
2016-03-07,-0.005415730540158092
2016-03-08,-0.016594965789975324
2016-03-09,-0.011626416790056493
2016-03-10,-0.01147242330970022
2016-03-11,0.004734981101985669
2016-03-14,0.003468037497746046
2016-03-15,0.0016247252271706092
2016-03-16,0.00723417580524055
2016-03-17,0.01387712339208269
2016-03-18,0.01834390474214409
2016-03-21,0.019347561344324804
2016-03-22,0.018453198263846282
2016-03-23,0.011949323954064894
2016-03-24,0.011566735976873854
2016-03-28,0.012118298288949836
2016-03-29,0.02104179288440955
2016-03-30,0.025483646577745045
2016-03-31,0.02339190685717374
2016-04-01,0.02987091416146237
2016-04-04,0.02656675629503691
2016-04-05,0.01615275765083468
2016-04-06,0.02683010394832852
2016-04-07,0.014533005824762357
2016-04-08,0.01736008109312448
2016-04-11,0.014572732382317932
2016-04-12,0.024375669854960424
2016-04-13,0.034660542024299135
2016-04-14,0.03483946316138131
2016-04-15,0.033820886355904634
