,Close
,^DJI
Date,
2016-01-04,0.0
2016-01-05,0.0005668399000164914
2016-01-06,-0.014136716043733122
2016-01-07,-0.037019189757201865
2016-01-08,-0.04679527034345354
2016-01-11,-0.043756008508634814
2016-01-12,-0.03689550317262924
2016-01-13,-0.05816857069217907
2016-01-14,-0.044894300929915865
2016-01-15,-0.06769277937992024
2016-01-19,-0.06606355599841784
2016-01-20,-0.08059969087465202
2016-01-21,-0.07383895482785985
2016-01-22,-0.06154489555374065
2016-01-25,-0.0736908384344559
2016-01-26,-0.057246046442604115
2016-01-27,-0.07023638374138708
2016-01-28,-0.06293682519771349
2016-01-29,-0.0398064658016275
2016-02-01,-0.0408048420450563
2016-02-02,-0.05804437159413445
2016-02-03,-0.0473661534053047
2016-02-04,-0.04270581145859398
2016-02-05,-0.05504537053983727
2016-02-08,-0.06542035159107529
2016-02-09,-0.06615916823391388
2016-02-10,-0.07196941957393732
2016-02-11,-0.08681351810089388
2016-02-12,-0.06852316509642031
2016-02-16,-0.05554450171561043
2016-02-17,-0.04053366547243431
2016-02-18,-0.04288951906533034
2016-02-19,-0.044139710261328347
2016-02-22,-0.030805362530960112
2016-02-23,-0.04181950482770602
2016-02-24,-0.0387166343764197
2016-02-25,-0.026336928406537563
2016-02-26,-0.029679313487065317
2016-02-29,-0.03687921663340832
2016-03-01,-0.016552590658792776
2016-03-02,-0.014555952063817768
2016-03-03,-0.011956369842021752
2016-03-04,-0.00829030403096398
2016-03-07,-0.0043728788348678105
2016-03-08,-0.010778499991515034
2016-03-09,-0.008664097189865827
2016-03-10,-0.008968985759756243
2016-03-11,0.003753648668825882
2016-03-14,0.004676172918400834
2016-03-15,0.005982285028786727
2016-03-16,0.010310859921298432
2016-03-17,0.01939191529359552
2016-03-18,0.026436697695750855
2016-03-21,0.02769440575600468
2016-03-22,0.025286161897083437
2016-03-23,0.020622289302010266
2016-03-24,0.02138855388857075
2016-03-28,0.022534989579462206
2016-03-29,0.0282332282528861
2016-03-30,0.033105295209468144
2016-03-31,0.0312643468180942
2016-04-01,0.03754229517427565
2016-04-04,0.034291365275526564
2016-04-05,0.02649614925850119
2016-04-06,0.03306976094207714
2016-04-07,0.02291812187274256
2016-04-08,0.024959064410073672
2016-04-11,0.02376069402068759
2016-04-12,0.033372941133727574
2016-04-13,0.0442791139257086
2016-04-14,0.04533751119130103
2016-04-15,0.043648266787635004
2016-04-18,0.049870180337545866
2016-04-19,0.05275312556340883
2016-04-20,0.055241321523959996
2016-04-21,0.04860825827763349
2016-04-22,0.049846263042186534
2016-04-25,0.048300408518793914
2016-04-26,0.04906314245699184
2016-04-27,0.052050526539257236
2016-04-28,0.039758745102791426
2016-04-29,0.03642797699429523
2016-05-02,0.04328085157416228
2016-05-03,0.035102503263856555
2016-05-04,0.029291625518478526
2016-05-05,0.029842748338687608
2016-05-06,0.03450309028539822
2016-05-09,0.032478434287287916
2016-05-10,0.04544946691195939
2016-05-11,0.03278218393835175
2016-05-12,0.03332920665078487
2016-05-13,0.022530889471686244
2016-05-16,0.03275838053487501
2016-05-17,0.02221950906448411
