,account_value
0,1069075.3305797577
1,1085417.3351951486
2,1071833.64153737
3,1070363.5470535895
4,1064517.1910588066
5,1083170.6443257234
6,1101394.235482501
7,1107703.1199477266
8,1111365.828805913
9,1112221.8619049485
10,1071894.3110602493
11,1082138.7765086654
12,1079470.013717154
13,1083431.1221084767
14,1076404.9581797167
15,1070679.8358051558
16,1071500.7106949792
17,1055540.553771792
18,1030415.0769189313
19,1045311.0749905233
20,1031296.5106529308
21,1018698.0669547166
22,1015231.7333857641
23,1015909.257018645
24,1019252.8641353908
25,1032938.95424592
26,1014679.8560164487
27,1002983.3133457493
28,1004063.998578619
29,1016253.3899503042
30,1004149.6624970619
31,1011484.5498768202
32,999341.8210637508
33,1011830.0345753224
34,1017260.7468988046
35,1039070.2370030709
36,1046464.2653665454
37,1052349.6756477025
38,1055432.4134220004
39,1056322.621072998
40,1053401.9637193247
41,1056371.6520109933
42,1047933.1644329189
43,1053023.261475475
44,1052710.1163715879
45,1049476.3167522969
46,1040866.1659386996
47,1022975.7639067406
48,1017103.221190638
49,1016187.2568849742
50,1013236.971573391
51,1021010.5729455472
52,1015733.7775365284
53,1018786.2862919202
54,1010915.7596496976
55,1008390.5932961437
56,1025813.0232907457
57,991422.0575439186
58,970225.3891297107
59,993807.9489141376
60,1014372.5593870059
61,1018671.755459607
62,1031793.5550014161
