,account_value
0,1144748.6277770996
1,1141715.385896816
2,1145023.8517642647
3,1145440.557517722
4,1144913.3124090426
5,1147469.3043216537
6,1147745.0880285772
7,1150391.6485176096
8,1149032.8831835599
9,1155110.0868887468
10,1159345.2144544725
11,1155826.4738984334
12,1156530.6516683444
13,1154703.876534659
14,1158449.8131345566
15,1157654.427430556
16,1150621.8403302436
17,1154923.5304969375
18,1152416.6297636002
19,1155132.2302640548
20,1156693.7236249563
21,1155122.229727148
22,1156931.4077346623
23,1158922.2878670348
24,1157332.9598923402
25,1160862.369599685
26,1147206.8219903873
27,1151391.1454637195
28,1159793.1575316587
29,1153787.2652076604
30,1157535.5594345168
31,1137141.8644828538
32,1132350.9612724152
33,1136928.430321234
34,1148530.2255422513
35,1142684.7220503464
36,1141581.844648947
37,1143184.4268244347
38,1149840.3325929688
39,1154949.217434894
40,1165822.4010841218
41,1169300.7294372958
42,1169079.2172075917
43,1165259.5477047577
44,1174045.7208418904
45,1183825.4053042699
46,1180995.9321842901
47,1195431.7251192636
48,1203915.3048417151
49,1200023.3717583593
50,1201113.3383314493
51,1201427.8180688822
52,1200622.1302026631
53,1204154.615032243
54,1207059.2447195107
55,1209481.1090953732
56,1209847.011236802
57,1193017.3728389041
58,1193175.2201790884
59,1199393.115829114
60,1198384.1827530956
61,1202302.7347867
62,1202567.2055755816
