,rewards
0,-5306.570681269979
1,1649.6371072840411
2,-2079.023368609138
3,3636.536402572412
4,-870.9901482597925
5,-2995.6987716762815
6,-5589.926475469256
7,14049.380528795533
8,-15407.7357008385
9,-2820.1574003153946
10,9869.829594914801
11,457.3701570716221
12,4609.504865343217
13,16958.910774106625
14,5676.296131278854
15,6906.724007913843
16,-9666.077248146059
17,6488.410619591596
18,9580.820962719852
19,-2471.3287632761057
20,968.3427674993873
21,2397.896842993563
22,-5008.93153689825
23,6091.271620083135
24,9752.176991943503
25,-1172.9505525904242
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,-895.4171535745263
42,-175.74631918035448
43,454.9667148992885
44,-415.2131860679947
45,-180.949941490544
46,-701.0266483232845
47,780.7317418798339
48,-1408.725813036086
49,-1736.3384303075727
50,-1878.6106736056972
51,6475.181717345957
52,-25302.42621052172
53,-2711.126190065639
54,2536.8198523658793
55,-877.2917028854135
56,0.0
57,0.0
58,913.4897889171261
59,-1127.6967619252391
60,-923.1054585897364
61,138.7209339227993
