,0
0,1000000.0
1,999738.6503670508
2,1001105.459558725
3,1002895.3493053938
4,993424.5376140401
5,993742.126825683
6,999597.6458331863
7,997346.3795775053
8,997883.9597434513
9,994819.3948774205
10,997696.4031984734
11,994943.6697835908
12,982940.139524146
13,976064.8248122612
14,956133.3669423222
15,964749.2711633833
16,963388.9606414123
17,957812.8259606609
18,977651.1431936511
19,975091.2054650479
20,1003424.3292497676
21,1011400.9792107568
22,1009119.3649102475
23,1027667.4416686844
24,1042554.9280338543
25,1034304.7026646797
26,1058502.2054040506
27,1076277.775091107
28,1083087.4445435205
29,1084691.0336204988
30,1077955.7410019962
31,1095730.849457279
32,1062755.272136612
33,1079418.3170446032
34,1072550.4157221508
35,1069205.9794568575
36,1052027.6856511731
37,1065940.45233749
38,1062291.8110634962
39,1051794.1668401186
40,1054813.4851300463
41,1055423.0793273055
42,1037264.7548258108
43,1002118.9256248688
44,1003489.7101784516
45,1003499.4575898427
46,1013896.6674550467
47,1008418.0728403626
48,1008605.3566399291
49,1013862.6409089529
50,1010264.1808835792
51,1009505.7628033399
52,1003738.9745363144
53,989009.8815023077
54,961651.2993196121
55,968639.3712824669
56,982992.5215423508
57,997363.835398873
58,1029292.7033258684
59,1039033.2127533464
60,1051171.4531556012
61,1045944.182083367
62,1043012.2119946509
63,1066280.1361845627
64,1086953.9415737104
65,1099150.637850608
66,1113869.8862247884
67,1111556.1320157077
68,1117156.515744964
69,1102706.1827697393
70,1090727.5471187877
71,1090473.8654129028
72,1092523.8821027938
73,1104598.4842900059
74,1103238.6811871084
75,1059297.9834693011
76,1066482.8672812826
77,1074411.4587763292
78,1086394.4717920139
79,1097662.3835363216
80,1104857.7322467293
81,1110354.2531485227
82,1115605.0550761279
83,1106704.8046333238
84,1120426.2733415014
85,1116362.7259374128
86,1101214.6423395115
87,1123348.6532672897
88,1115008.6653950796
89,1096053.0672233857
90,1115225.4544957534
91,1089012.7046613325
92,1083298.4299494997
93,1065784.1686381914
94,1056621.3913402185
95,1029442.8233734805
96,1002677.7966919455
97,1007001.5031281656
98,1015796.4179811452
99,1011335.8720950673
100,1034460.3471236841
101,1036947.4245396869
102,1059919.6370673284
103,1058344.175879233
104,1061259.61899394
105,1040319.0224531677
106,1053494.7706960214
107,1072706.6843017074
108,1071954.2269240897
109,1065844.8579961439
110,1050041.8108704735
111,1047068.6344003784
112,1057027.1535331507
113,1050431.0810745016
114,1062050.156830521
115,1045965.3034652828
116,1046805.6768148621
117,1062142.5218414406
118,1064111.1849900235
119,1063636.3957194695
120,1071745.3836889153
121,1078341.3752456745
122,1067087.228325335
123,1070578.7408860766
124,1071757.4767530095
125,1077623.638793149
126,1099498.8613894645
127,1096569.6191351928
128,1091251.884425075
129,1081419.8535721211
130,1086186.8277626927
131,1095885.003707878
132,1096624.3621476418
133,1096030.2493021772
134,1100860.7673352316
135,1104839.8309786818
136,1108140.1453701279
137,1108051.163932008
138,1094228.676283004
139,1103962.1729350486
140,1116293.863827527
141,1118297.353014481
142,1116360.7807295285
143,1128972.8657914565
144,1140404.7729825277
145,1117190.5968134257
146,1124246.3719208208
147,1119034.620003836
148,1108514.4347070262
149,1119043.1233082614
150,1100618.2939067804
151,1090329.6389447306
152,1058235.089710469
153,1056396.562791867
154,1062808.6670955282
155,1066701.4347074863
156,1051580.736958447
157,1037923.5226410016
158,1063205.9289634204
159,1070948.9980660644
160,1068679.6341995338
161,1032965.5419425059
162,1031401.6131941054
163,1028970.3372544236
164,1043994.9731480181
165,1030166.7899727484
166,1053927.9798282958
167,1062538.7300004705
168,1080869.5761306344
169,1092625.366834796
170,1100942.2593125678
171,1085748.2637918626
172,1075966.5450402675
173,1052709.1903428703
174,1058230.8317238803
175,1050337.226915706
176,1059170.7947136725
177,1074078.3388294708
178,1086275.3671948093
179,1089484.1300910348
180,1089968.4589455726
181,1104022.1961946557
182,1105984.2550064195
183,1105298.4866108205
184,1119751.6939455657
185,1128143.515819343
186,1137558.9704566787
187,1136580.4443888764
188,1142506.4643513353
189,1144015.0077117672
190,1145674.2747005424
191,1138268.2557033207
192,1137985.0886664996
193,1150708.177537304
194,1138769.3291651618
195,1147410.3823434704
196,1156379.8352672162
197,1168033.3544140395
198,1174470.8885874455
199,1168372.380514553
200,1176048.9502982362
201,1192051.769607803
202,1194393.5296048764
203,1201215.9516800828
204,1202547.1935215853
205,1202700.2123885483
206,1213074.986544926
207,1214709.1337759204
208,1233459.4071477798
209,1240174.999231815
210,1223169.323441032
211,1220446.228447307
212,1227501.0723028025
213,1219755.9000408237
214,1260603.7960840892
215,1260566.326697848
216,1257976.7972440731
217,1224920.5883585005
218,1220810.492454239
219,1280495.855270867
220,1244680.4880591063
221,1267197.9623012624
222,1224250.5612548469
223,1214377.9309225988
224,1164932.6929062137
225,1148493.0957631269
226,1207277.3429041374
227,1201935.3966397552
228,1226548.9888032388
229,1212537.8280649493
230,1176731.3190956993
231,1165977.2184466347
232,1151050.665753682
233,1144023.669256862
234,1108148.591443691
235,1135611.789047273
236,1122775.1270670665
237,1129450.8926902572
238,1121009.6120082752
239,1163619.4477480252
240,1147374.8611191914
241,1124175.5561150734
242,1157654.069834258
243,1164487.271686317
244,1124156.0195975262
245,1096153.9610567128
246,1107423.464481305
247,1105475.430805854
248,1142010.8603400087
249,1148715.7696942657
250,1151664.0405237542
251,1190178.8950514973
252,1193452.7839518131
253,1202609.0186490356
254,1204444.2160889844
255,1197993.0255671667
