,account_value
0,1043416.967040062
1,1045565.3710250957
2,1058337.4714894474
3,1053013.865527559
4,1051865.4638354261
5,1054326.518544827
6,1034798.9748774949
7,1027064.2113675355
8,1024290.5686793912
9,1023476.0127737265
10,1014218.470221016
11,1056297.169617365
12,1065776.2100615706
13,1068924.3679229973
14,1077200.5943202062
15,1078172.5171071468
16,1083560.7623436048
17,1075506.8402026426
18,1073179.1852716552
19,1069008.7716000366
20,1058552.7349998406
21,1050616.083629186
22,1048833.5086732998
23,1046638.0542982168
24,1042224.0459137819
25,1065484.2024901707
26,1064854.2013784028
27,1083654.5429994608
28,1098724.8548692248
29,1100141.84673969
30,1099041.7086010817
31,1099041.7086010817
32,1099041.7086010817
33,1099041.7086010817
34,1099041.7086010817
35,1099041.7086010817
36,1098563.430473634
37,1098551.436595189
38,1099796.9209894068
39,1092446.7768438642
40,1090931.5018115016
41,1089626.9402917987
42,1089185.1914904658
43,1091774.6272461014
44,1092326.5706710306
45,1068643.1827015239
46,1083478.1048093433
47,1081524.4971388208
48,1083230.1744412135
49,1090332.8671912504
50,1088962.119829766
51,1082294.9438025013
52,1094338.166620457
53,1100450.4428418945
54,1099825.20268589
55,1104720.3118926128
56,1104787.7339607542
57,1100842.465406776
58,1100459.3313486278
59,1101656.3765155852
60,1090398.1689152212
61,1079797.8074509432
62,1078042.6341163346
