,rewards
0,830.3248291015625
1,236.93273544311523
2,-1624.4057312011719
3,7950.945243835449
4,2028.903636932373
5,-6311.555358886719
6,-15696.532402038574
7,-14769.697750091553
8,-18998.644439697266
9,-1390.179542541504
10,1531.6159553527832
11,35796.11827087402
12,4728.284381866455
13,9742.710456848145
14,16070.384220123291
15,-12646.267807006836
16,-18932.13272857666
17,-7802.428276062012
18,-4587.849189758301
19,-39779.9075088501
20,21731.598106384277
21,5143.33113861084
22,36492.32326889038
23,-10453.270503997803
24,-11558.89009475708
25,13387.872035980225
26,-43759.023639678955
27,11658.704460144043
28,20134.964294433594
29,15782.071773529053
30,-7838.801582336426
31,10704.935325622559
32,-3657.8281173706055
33,-35246.84799575806
34,25065.745719909668
35,5904.703536987305
36,3046.1714668273926
37,15186.97539138794
38,-2000.8295555114746
39,-13092.354034423828
40,21421.395881652832
41,8251.632648468018
42,-2227.558937072754
43,579.7940826416016
44,-36863.52307510376
45,11136.829555511475
46,7841.185466766357
47,-6530.365673065186
48,7606.417953491211
49,21690.5968208313
50,827.2399711608887
51,-5561.177543640137
52,-17130.66107940674
53,4052.1188621520996
54,-24963.355541229248
55,7861.660377502441
56,-4026.3181953430176
57,-10584.557819366455
58,20336.170028686523
59,-15772.38069152832
60,-30100.070903778076
61,11315.288368225098
