,rewards
0,11019.265690389788
1,8569.171480158344
2,7371.794977793237
3,-5607.998718577437
4,17017.010742625454
5,1109.1118184579536
6,-6503.859677667962
7,8553.71867118217
8,-11240.047939567827
9,5917.00903128623
10,4916.72049595532
11,1584.825128977187
12,-5997.917238089023
13,-1121.7300619394518
14,0.0
15,-705.1711175993551
16,-156.44616072135977
17,0.0
18,0.0
19,-177.5234586314764
20,-53.737008484778926
21,0.0
22,0.0
23,0.0
24,0.0
25,126.11231582588516
26,685.3593135003466
27,727.6212584711611
28,1718.2030635499395
29,3096.3999145138077
30,-865.3870307882316
31,1320.6000129801687
32,1651.63609832176
33,-1124.6732214002404
34,-743.6315891381819
35,2453.8757776673883
36,1042.5836976282299
37,-3897.9701428930275
38,6807.967800277285
39,-6326.342739623971
40,-761.6385756526142
41,-1359.4336988131981
42,-3350.6966227635276
43,1261.1600166496355
44,343.5051074139774
45,1681.6129221911542
46,2307.7700192420743
47,-2670.155171346618
48,8729.266504264204
49,-1951.048366036266
50,236.25020557874814
51,-5602.945285328664
52,-9617.800465197302
53,5264.730003678938
54,-4805.657819327898
55,-374.34374833200127
56,1923.3364938602317
57,7641.98533753329
58,1763.4976760053542
59,5680.163352585863
60,-2947.7210610774346
61,-2456.0890381389763
