,account_value
0,1369361.1714601517
1,1346855.0183482994
2,1352076.1332415193
3,1375239.0592653153
4,1375099.574973127
5,1392876.7342712388
6,1391770.6190426457
7,1398906.4140940462
8,1431460.96853869
9,1430029.5080629084
10,1430029.5080629084
11,1430029.5080629084
12,1430029.5080629084
13,1430029.5080629084
14,1430029.5080629084
15,1430029.5080629084
16,1430029.5080629084
17,1430029.5080629084
18,1430029.5080629084
19,1430029.5080629084
20,1430029.5080629084
21,1430029.5080629084
22,1430029.5080629084
23,1430029.5080629084
24,1430029.5080629084
25,1430029.5080629084
26,1430029.5080629084
27,1430029.5080629084
28,1430029.5080629084
29,1430029.5080629084
30,1430029.5080629084
31,1429686.1065045048
32,1431608.0449298886
33,1430161.6917751383
34,1429900.0098673787
35,1429900.0098673787
36,1429900.0098673787
37,1429900.0098673787
38,1429900.0098673787
39,1429900.0098673787
40,1429900.0098673787
41,1429900.0098673787
42,1429900.0098673787
43,1429900.0098673787
44,1429900.0098673787
45,1429900.0098673787
46,1429900.0098673787
47,1429723.605501467
48,1429588.6801979016
49,1429588.6801979016
50,1429588.6801979016
51,1429588.6801979016
52,1429588.6801979016
53,1429588.6801979016
54,1429588.6801979016
55,1429588.6801979016
56,1429588.6801979016
57,1429588.6801979016
58,1429588.6801979016
59,1429588.6801979016
60,1429588.6801979016
61,1429588.6801979016
62,1429588.6801979016
