,account_value
0,1309723.8117656708
1,1333547.7927199854
2,1348968.3516749765
3,1355474.5786643995
4,1362015.8423071585
5,1364519.8351367717
6,1376834.9909643235
7,1389076.364209244
8,1382491.0634101965
9,1390108.6759977897
10,1392046.2753500126
11,1398691.3243217745
12,1403623.7835550536
13,1396390.299911601
14,1400418.444851605
15,1415023.7251245077
16,1431671.81641722
17,1429015.0750392347
18,1420803.1848916768
19,1414717.422505309
20,1420865.512176579
21,1397826.2166321734
22,1335029.8360860003
23,1362040.483914485
24,1365535.6962337878
25,1307776.2028443478
26,1331373.099292139
27,1351272.2012600463
28,1360753.5852002222
29,1386206.846852837
30,1409187.2948140332
31,1405568.532470393
32,1395583.1968009295
33,1389331.2654665199
34,1392692.8251730364
35,1414848.7569970868
36,1427247.2029330716
37,1417221.5301167404
38,1397157.9546858
39,1367373.0172756603
40,1374390.2213941813
41,1394321.0395665476
42,1398002.4804859103
43,1397612.3398359064
44,1405471.683703622
45,1427331.8521145359
46,1407781.4473762035
47,1407274.2563379896
48,1399321.5662468725
49,1404269.9559945099
50,1407497.2377388747
51,1392254.2568829188
52,1401880.539201933
53,1407848.0905995523
54,1366064.0690825481
55,1354169.6685118058
56,1395962.2402978481
57,1367066.2917888376
58,1350358.5416346276
59,1369628.1843944052
60,1333014.3738613066
61,1350629.5783101483
62,1369361.1743332585
