,account_value
0,1524755.9212727547
1,1527023.096683979
2,1527260.0294194221
3,1525635.623688221
4,1533586.5689320564
5,1535615.4725689888
6,1529303.917210102
7,1513607.3848080635
8,1498837.687057972
9,1479839.0426182747
10,1478448.8630757332
11,1479980.479031086
12,1515776.59730196
13,1520504.8816838264
14,1530247.5921406746
15,1546317.9763607979
16,1533671.708553791
17,1514739.5758252144
18,1506937.1475491524
19,1502349.298359394
20,1462569.390850544
21,1484300.9889569283
22,1489444.320095539
23,1525936.6433644295
24,1515483.3728604317
25,1503924.4827656746
26,1517312.3548016548
27,1473553.3311619759
28,1485212.03562212
29,1505346.9999165535
30,1521129.0716900826
31,1513290.2701077461
32,1523995.2054333687
33,1520337.377315998
34,1485090.52932024
35,1510156.2750401497
36,1516060.978577137
37,1519107.1500439644
38,1534294.1254353523
39,1532293.2958798409
40,1519200.941845417
41,1540622.3377270699
42,1548873.9703755379
43,1546646.4114384651
44,1547226.2055211067
45,1510362.682446003
46,1521499.5120015144
47,1529340.6974682808
48,1522810.3317952156
49,1530416.7497487068
50,1552107.3465695381
51,1552934.586540699
52,1547373.4089970589
53,1530242.7479176521
54,1534294.8667798042
55,1509331.511238575
56,1517193.1716160774
57,1513166.8534207344
58,1502582.295601368
59,1522918.4656300545
60,1507146.0849385262
61,1477046.014034748
62,1488361.3024029732
