,account_value
0,1202567.211821556
1,1217003.5978144624
2,1234616.6902946015
3,1239285.4242668657
4,1238229.7588628458
5,1241297.0790098063
6,1244561.4800385605
7,1246462.490714085
8,1250032.4092040868
9,1251782.2653839407
10,1249412.404895567
11,1246697.4659173554
12,1248243.2419729806
13,1252750.1448618376
14,1253484.0700400271
15,1256502.6514948185
16,1247646.6628760973
17,1248553.7947357337
18,1250173.5325511768
19,1239747.905086079
20,1235639.277496734
21,1236911.7718414674
22,1239126.4841145019
23,1244295.179594388
24,1244632.8715737478
25,1245332.7878394509
26,1249803.6972614378
27,1240247.6774441956
28,1242619.2175503299
29,1245544.3465594503
30,1248828.1265043847
31,1235902.8833575277
32,1245411.5872969956
33,1239802.7080413247
34,1244783.0673392552
35,1252827.5713619583
36,1249264.9203967182
37,1253473.4839268287
38,1254632.7696832148
39,1268608.3534728962
40,1265974.314373656
41,1277303.7893818847
42,1274560.4920911337
43,1266223.0940007183
44,1265446.3258736809
45,1271618.7098373703
46,1280800.3788631307
47,1286644.2162710435
48,1289307.8870242776
49,1294820.020638535
50,1302501.1895958043
51,1293388.9977630537
52,1303839.7587229116
53,1309323.2582007498
54,1304221.1109641916
55,1303563.6800559622
56,1302437.6917614262
57,1303764.8655302108
58,1307475.1146586286
59,1309344.6663784499
60,1312412.9676452707
61,1306229.5333954839
62,1309723.8273752455
