,rewards
0,5968.155633831164
1,17613.09248013911
2,4668.733972264221
3,-1055.6654040198773
4,3067.320146960439
5,3264.4010287541896
6,1901.0106755245943
7,3569.918490001699
8,1749.8561798539013
9,-2369.8604883735534
10,-2714.9389782117214
11,1545.7760556251742
12,4506.902888857061
13,733.9251781895291
14,3018.5814547913615
15,-8855.988618721254
16,907.1318596363999
17,1619.7378154431935
18,-10425.627465097932
19,-4108.627589344978
20,1272.4943447334226
21,2214.7122730345
22,5168.695479886141
23,337.6919793598354
24,699.9162657030392
25,4470.9094219869
26,-9556.019817242166
27,2371.5401061342563
28,2925.129009120399
29,3283.7799449344166
30,-12925.243146857014
31,9508.703939467901
32,-5608.879255670821
33,4980.359297930496
34,8044.50402270304
35,-3562.6509652400855
36,4208.563530110521
37,1159.285756386118
38,13975.583789681317
39,-2634.03909924021
40,11329.475008228794
41,-2743.297290751012
42,-8337.398090415401
43,-776.7681270374451
44,6172.383963689441
45,9181.669025760377
46,5843.837407912826
47,2663.670753234066
48,5512.133614257444
49,7681.168957269285
50,-9112.19183275057
51,10450.760959857842
52,5483.499477838166
53,-5102.147236558143
54,-657.4309082294349
55,-1125.988294536015
56,1327.173768784618
57,3710.2491284178104
58,1869.551719821291
59,3068.3012668208685
60,-6183.434249786893
61,3494.2939797616564
