,account_value
0,1800444.8919677734
1,1810489.575991659
2,1799795.112772039
3,1812723.9942182088
4,1824794.0956730158
5,1830550.4979389082
6,1830387.56099139
7,1838928.2792788353
8,1837455.6413469352
9,1831603.807026402
10,1823088.0599974215
11,1827734.2914787629
12,1820149.6510467848
13,1810821.1449824255
14,1814298.3166511038
15,1812484.0211688725
16,1812484.0211688725
17,1812484.0211688725
18,1812484.0211688725
19,1812484.0211688725
20,1812484.0211688725
21,1812484.0211688725
22,1812484.0211688725
23,1813182.0162483193
24,1811962.9695159893
25,1812286.69633483
26,1812128.6941278514
27,1812574.3626570865
28,1812626.3349721723
29,1812077.5919928057
30,1817531.8840586792
31,1820042.6835170244
32,1819786.1744581691
33,1823458.837149694
34,1821612.6200581382
35,1823126.2528346656
36,1834372.4548355495
37,1853367.9766109895
38,1859912.9586531718
39,1855764.8644057033
40,1847502.1332860766
41,1842694.5182278205
42,1844952.8058518798
43,1853084.2708101366
44,1861457.873017365
45,1861709.8988896508
46,1855207.9519364182
47,1863157.0508785243
48,1868640.871610742
49,1875032.6545189894
50,1885512.2192099653
51,1891029.3852742773
52,1869965.4354746083
53,1868230.6833678815
54,1868230.6833678815
55,1868230.6833678815
56,1868239.0346726498
57,1869829.0056370753
58,1868981.3824052117
59,1866301.9080093785
60,1867185.374045466
61,1874909.0334657254
62,1874922.2772007722
