,account_value
0,1590700.3533248901
1,1620479.3371493937
2,1630468.6934346524
3,1640567.4825734517
4,1639460.7325269924
5,1642983.9672474158
6,1655122.4915361116
7,1663726.944188526
8,1659665.9988658838
9,1670757.8239100666
10,1673457.1419005767
11,1684431.3141829723
12,1690005.5172831656
13,1672388.2926134765
14,1666157.1262755534
15,1669549.5222379316
16,1680804.688074275
17,1671760.3932778975
18,1646547.1700061308
19,1642407.1093310467
20,1643988.457911213
21,1605487.884282244
22,1540521.9136705352
23,1576553.528096741
24,1571394.2702818352
25,1499407.3624089365
26,1514478.3354024678
27,1539816.1534569885
28,1543110.9581700922
29,1556272.3473551876
30,1576918.0450481456
31,1574278.7042975458
32,1562611.5611648792
33,1561915.4029174566
34,1569934.6850676588
35,1606764.6235754513
36,1624109.866916595
37,1606393.4066715268
38,1585058.4679276464
39,1556696.5833721529
40,1556692.7986295857
41,1579487.090987394
42,1588950.7393297849
43,1589242.9089666163
44,1603335.5696844626
45,1633120.9909930404
46,1637283.3805226292
47,1646529.680962176
48,1632997.5234083526
49,1638624.0889823963
50,1655809.9658721313
51,1626470.8899441895
52,1642270.2171382927
53,1636809.0181680252
54,1575721.987869629
55,1529441.8954648837
56,1579432.1660187517
57,1545692.5550654721
58,1540218.416273646
59,1561636.6280479315
60,1530041.8817917453
61,1556080.8213005345
62,1568292.9352050493
