,account_value
0,1790351.8544283956
1,1799242.2283077047
2,1790276.2563144306
3,1798033.725359839
4,1795346.191513766
5,1796755.9804503438
6,1794959.2552132548
7,1795353.4933064184
8,1795210.8205978854
9,1795210.8205978854
10,1795210.8205978854
11,1795210.8205978854
12,1795210.8205978854
13,1795210.8205978854
14,1795210.8205978854
15,1795210.8205978854
16,1795210.8205978854
17,1795210.8205978854
18,1795210.8205978854
19,1795210.8205978854
20,1795210.8205978854
21,1795210.8205978854
22,1795210.8205978854
23,1795210.8205978854
24,1795210.8205978854
25,1795210.8205978854
26,1795210.8205978854
27,1795210.8205978854
28,1795210.8205978854
29,1795210.8205978854
30,1795210.8205978854
31,1795210.8205978854
32,1795210.8205978854
33,1795210.8205978854
34,1794749.909253613
35,1794494.5952048907
36,1794250.9283670255
37,1794250.9283670255
38,1794250.9283670255
39,1794250.9283670255
40,1794250.9283670255
41,1794250.9283670255
42,1794250.9283670255
43,1794250.9283670255
44,1794250.9283670255
45,1794250.9283670255
46,1794250.9283670255
47,1794250.9283670255
48,1794250.9283670255
49,1794250.9283670255
50,1794250.9283670255
51,1794250.9283670255
52,1794250.9283670255
53,1794250.9283670255
54,1794319.7224572706
55,1792975.1767586053
56,1792324.3326040856
57,1792941.2195919983
58,1796094.0307194765
59,1796849.2304688352
60,1798581.6462771273
61,1805519.554485375
62,1806421.0137378974
