,account_value
0,1219248.4797635078
1,1238464.0095161058
2,1243054.6326890653
3,1250755.0331544164
4,1245952.5049620476
5,1264561.7310107676
6,1264385.4334724313
7,1257696.7863791955
8,1262249.2815018168
9,1253717.7314244735
10,1260227.423440905
11,1259696.927924959
12,1258412.4896947397
13,1256285.4437032752
14,1255029.1724544587
15,1255029.1724544587
16,1254767.3421123067
17,1254647.0201526962
18,1254647.0201526962
19,1254647.0201526962
20,1254285.1522402675
21,1254156.2286727477
22,1254156.2286727477
23,1254156.2286727477
24,1254156.2286727477
25,1254156.2286727477
26,1254671.7715516114
27,1255642.519608776
28,1256335.8532505112
29,1258021.9109397735
30,1262147.8650307055
31,1261744.0407572656
32,1263948.1366416584
33,1269572.5816481411
34,1267087.9707519098
35,1260152.771227797
36,1261089.0768245046
37,1265831.4925942747
38,1257319.2039435038
39,1267083.5402328866
40,1255947.4269836277
41,1256114.397879937
42,1251954.7033506744
43,1243269.823178387
44,1244388.303966738
45,1249918.18773993
46,1248411.9752638717
47,1249376.4260143724
48,1243857.7142785888
49,1247150.6672007623
50,1246349.991990869
51,1247984.888905781
52,1239396.6583529431
53,1249272.568646161
54,1264788.1509662843
55,1261468.105701269
56,1259341.379299283
57,1260989.3727162636
58,1283623.8972017274
59,1297318.1974948617
60,1316396.869168099
61,1316641.5567031975
62,1329097.745596274
