,0
0,1000000.0
1,999998.9717135679
2,1000950.0919352622
3,1001691.176184167
4,997288.8630401136
5,996893.1725325525
6,999228.947389235
7,1005534.6353860397
8,1005020.7360948487
9,1004997.2873006639
10,1004689.3454446628
11,1010279.417245271
12,998380.1013677397
13,999055.8608619757
14,986628.1790314636
15,986995.8882508427
16,991835.931441272
17,993723.4056525362
18,1006203.5460134472
19,1010301.3350268533
20,1023103.9919185832
21,1041759.1496912678
22,1039285.9856309141
23,1056658.0388551103
24,1061518.5718627144
25,1063234.3553221794
26,1082066.1930312624
27,1082010.0305632837
28,1087318.026736434
29,1094735.2548214823
30,1085110.7041309604
31,1098012.478202533
32,1101352.8066306342
33,1118509.0103138566
34,1130002.9648236174
35,1121085.178428102
36,1106573.4804676846
37,1116743.0877441328
38,1113203.6781604656
39,1100112.7252798213
40,1105847.7899366105
41,1106408.5850021606
42,1087809.9226314726
43,1057264.7632745495
44,1067013.9174847691
45,1070689.6135405977
46,1084675.794413613
47,1100897.4365619621
48,1095768.6053523766
49,1094439.9858574625
50,1088994.2604877863
51,1091212.7558830455
52,1091806.6034678887
53,1076789.7964250222
54,1055591.2932781968
55,1056113.3029456867
56,1074712.787087356
57,1091572.5294463015
58,1106208.5962102613
59,1113757.9976265975
60,1117601.7399875124
61,1125321.4248383944
62,1131624.1598680518
63,1145344.4176466183
64,1155529.376987401
65,1158002.1875495675
66,1167215.9821790045
67,1158648.287973081
68,1171367.3041807776
69,1162016.8444905432
70,1153719.712151919
71,1144702.9491252848
72,1162387.760739415
73,1166911.66205602
74,1168218.0453203067
75,1134948.4868020152
76,1132437.3157491342
77,1148141.529033523
78,1156617.4004695734
79,1166158.7440399956
80,1179208.0429444332
81,1180462.132417765
82,1179075.7782780554
83,1180192.98994508
84,1200342.848238122
85,1200046.7313114484
86,1193264.8107819718
87,1209530.9615295092
88,1201101.2273573272
89,1182655.242829074
90,1205063.8165341283
91,1172772.455817979
92,1162706.7379182535
93,1145114.4905144593
