,account_value
0,1329097.788910389
1,1326808.52957747
2,1325413.2131156223
3,1320230.5375131054
4,1331726.1520579976
5,1330145.710247889
6,1338713.4178547533
7,1343772.3801518406
8,1352229.391860891
9,1342843.80480594
10,1355906.970310769
11,1363261.4441552388
12,1362573.0035809109
13,1353353.3388825345
14,1360079.5633468293
15,1378251.9527769752
16,1376849.2349656792
17,1364206.013261647
18,1368814.7470312936
19,1383264.944601969
20,1370514.0840130404
21,1361002.4915820693
22,1364789.3825362306
23,1353454.3424168627
24,1366620.3653470385
25,1385263.07011829
26,1383877.8119921694
27,1383877.8119921694
28,1383877.8119921694
29,1383877.8119921694
30,1383877.8119921694
31,1383877.8119921694
32,1383877.8119921694
33,1383877.8119921694
34,1383877.8119921694
35,1383877.8119921694
36,1383877.8119921694
37,1383877.8119921694
38,1383877.8119921694
39,1383877.8119921694
40,1383877.8119921694
41,1383877.8119921694
42,1383246.3441158535
43,1383160.1297563429
44,1383412.5226281097
45,1382909.693819979
46,1382769.7451979483
47,1382786.6111338695
48,1383348.777944347
49,1382475.6941968086
50,1381276.9020361314
51,1379524.206446614
52,1385476.7738416868
53,1364758.1444266625
54,1359814.153905888
55,1361618.7938965703
56,1360852.2839154261
57,1360852.2839154261
58,1360852.2839154261
59,1361885.2782580033
60,1360898.499736711
61,1360194.7116168104
62,1360935.1966370423
