,rewards
0,1923.4816612128634
1,6769.791571839247
2,-589.8394485614263
3,622.6301171465311
4,3063.140425633872
5,8795.963602035772
6,4255.945305068744
7,-1620.071289340267
8,108.87708940566517
9,3313.9786103076767
10,4730.0921718901955
11,6501.376465160167
12,5230.9849000563845
13,1950.361694445368
14,5790.058353918372
15,-3348.7137350314297
16,5859.2679716297425
17,5644.102237473009
18,-10809.91416167817
19,1561.750744535355
20,-2013.6194482834544
21,486.4179220045917
22,-2904.2545016238
23,-5839.441061620368
24,1809.5280338448938
25,2572.245952316327
26,-15937.012233390007
27,4791.883027182892
28,8418.457299272297
29,-1837.0449885465205
30,-18127.286608614726
31,12773.98318586545
32,-8922.216248980025
33,7796.665491421707
34,9254.196844054386
35,-2582.7139135680627
36,2410.253648945829
37,-2161.559084292501
38,15932.872121524997
39,-3764.79499631864
40,11865.914322383003
41,1488.4029739620164
42,438.1788231343962
43,-456.3254738925025
44,7307.569020047318
45,11084.105001163669
46,9387.030563907232
47,-96.09571792301722
48,3419.939547631191
49,10283.337114226539
50,-13464.595770818181
51,11424.146564036142
52,9159.946241124067
53,133.69116420205683
54,19116.57500595739
55,-2907.8580829908606
56,-4458.30908055068
57,-4794.977269946365
58,4364.584449101472
59,-1869.1635927446187
60,-6009.334223929327
61,26106.198809838854
