,rewards
0,-622.4911674021278
1,-9576.332790237619
2,1270.0308766966918
3,-6703.377965170657
4,9998.945168058272
5,12159.204645521706
6,1897.317813895177
7,3725.207606741693
8,985.8933695685118
9,-15867.478339329828
10,3297.6923295175657
11,-6787.488509810297
12,2058.9025494975504
13,-5509.8774923472665
14,5663.426998371491
15,2466.0391250743996
16,-8303.745541026
17,-8636.278553399956
18,9049.207887031604
19,-8361.534829822835
20,-6836.76675712748
21,-1057.3507530307397
22,6394.751692787046
23,-1462.3668215204962
24,13222.510450527887
25,-14577.613545630593
26,-3697.9048473213334
27,-3237.1348331867484
28,11619.386683973251
29,-8945.247386418283
30,3820.613240701612
31,-10198.673561117495
32,10420.164622164797
33,4959.690820156713
34,17356.808797846083
35,4971.833209109027
36,4930.171853846405
37,4922.65168565046
38,-2611.363161487505
39,199.97467368259095
40,2128.554223971907
41,-5895.441812261241
42,8164.90007799794
43,-1340.304546999978
44,-6163.301851341734
45,-2952.791843495099
46,-16407.576954496326
47,-6877.714252391132
48,1661.7432427678723
49,715.1768724760041
50,2529.6047517094994
51,-6578.824343684246
52,4034.7948445457732
53,-7369.087408103631
54,-2581.5178791106446
55,15402.091578926425
56,-34030.12351588544
57,-20638.558336206712
58,23877.483025593683
59,22903.531093033613
60,10551.928388475324
61,14494.115464265458
