,account_value
0,1000000.0
1,1000277.5338654997
2,995768.5894597531
3,984558.1784257889
4,980087.2202608108
5,980163.893189287
6,980476.2083955763
7,975319.4348809719
8,1003105.3075331639
9,1006828.8932808827
10,1010108.7805603932
11,999804.7423056554
12,995186.9372242879
13,997233.7291602086
14,983116.4978903722
15,994581.501024146
16,982032.6180781316
17,988714.0492867421
18,993029.3264273595
19,1009309.795658965
20,997706.253275771
21,990186.7365349721
22,996373.1679829549
23,971912.9960955571
24,958476.2293156575
25,960834.7706707906
26,966844.2943247746
27,966637.8651665639
28,991224.828112502
29,1012782.9341801595
30,1038394.1282566976
31,1033061.643397231
32,1026643.659101386
33,1051226.7885159445
34,1043181.4540575932
35,1040513.1108130406
36,1043212.1160744618
37,1039887.0113467168
38,1038665.2670916509
39,1055955.7809084845
40,1069327.3753022146
41,1068411.510037322
42,1075597.6129540396
43,1077879.2422684622
44,1064541.9607857657
45,1054052.6200493765
46,1051705.5648516607
47,1063869.1598757696
48,1069656.8572033835
49,1056780.803940673
50,1058954.0632599783
51,1045610.6934021901
52,1040986.0078572225
53,1047361.8238896321
54,1053146.763615508
55,1051082.0880326224
56,1047433.9919499349
57,1053195.6255406332
58,1049468.2928151083
59,1054129.2846087408
60,1057305.4238280249
61,1060223.5238856268
62,1058779.6451519919
