,rewards
0,914.889717255719
1,2232.4930055232253
2,917.3473692634143
3,1594.153201441979
4,607.9175402729306
5,-1661.2495732309762
6,6408.737679401878
7,4606.214925082866
8,4425.994154135231
9,21005.788459887262
10,-16761.78317340347
11,11194.342687973985
12,-201.74932066677138
13,15110.330420597456
14,-21374.27952507953
15,5304.352764301002
16,19144.10636682366
17,-3951.0908558559604
18,-1789.8083784522023
19,3320.368177174125
20,2668.305119527038
21,-2280.9814237272367
22,-11382.049786958145
23,-10753.213008856867
24,-4499.1354172714055
25,28436.50919074379
26,7313.793212809833
27,-3688.742313551251
28,32170.158135106787
29,3256.8324106023647
30,4595.744301915169
31,-12821.71151158167
32,4235.763168920996
33,2878.537473628763
34,-9144.53751172754
35,-21848.228645677445
36,-15823.453710118309
37,-2067.707076482009
38,-13795.095241199713
39,1595.5861791758798
40,-9249.738897402072
41,-15049.724735159427
42,-5122.976074168924
43,22012.015939490637
44,6796.918179998174
45,12359.293278589146
46,414.4182828827761
47,2783.789865188068
48,10334.725923136808
49,3142.6943672916386
50,-9889.168909639586
51,18068.514000769705
52,-30676.557678784244
53,177.0966635798104
54,1920.758876993088
55,-5902.732084270567
56,6627.271034050966
57,18713.57886905619
58,22899.44305062038
59,-60169.373175925575
60,-1533.0855497992598
61,0.0
