,account_value
0,1236460.374633789
1,1228636.0956521092
2,1234453.1587199266
3,1232802.788441511
4,1233154.5121907594
5,1238515.5156749103
6,1241485.3893049764
7,1248478.8535884235
8,1248168.936661849
9,1246500.0999400474
10,1252185.5017952106
11,1251648.5348259115
12,1250289.6782560872
13,1251259.5003141926
14,1252380.8363038776
15,1257770.769147811
16,1261901.1586882162
17,1260639.2881998809
18,1260919.0541998807
19,1262047.3471998805
20,1264669.9791998805
21,1264726.6721998805
22,1263876.3021998804
23,1265505.0631998805
24,1264334.5744398804
25,1259368.2044398803
26,1248326.2344398806
27,1250852.9844398806
28,1259442.9144398805
29,1261134.0244398806
30,1263162.6744398805
31,1248280.7944398806
32,1243874.5844398804
33,1244908.0744398807
34,1255605.5544398804
35,1250275.4144398808
36,1246078.1044398805
37,1247519.9844398806
38,1248039.1744398805
39,1252941.7644398804
40,1254080.7244398806
41,1254253.7444398804
42,1253595.1544398805
43,1240322.7944398804
44,1241564.4144398805
45,1241248.0344398804
46,1242619.9344398805
47,1256941.4944398806
48,1256283.4344398805
49,1258043.6644398805
50,1260849.6844398805
51,1267695.7544398804
52,1269453.0044398806
53,1271188.5944398805
54,1272355.7744398806
55,1267542.1944398805
56,1266980.6644398805
57,1261565.1844398803
58,1260217.0244398806
59,1262960.4144398805
60,1263382.9444398805
61,1263588.6244398805
62,1271219.8144398807
