,rewards
0,607.5004999998491
1,7652.554630000144
2,-474.74116999981925
3,482.4137899999041
4,8687.570839999942
5,3925.8105000003707
6,969.6774699999951
7,3987.4799999997485
8,1564.6399999998976
9,-216.7600000000093
10,3585.9000000001397
11,-1123.2500000002328
12,8735.410000000382
13,-5855.250000000233
14,8060.970000000205
15,-10922.959999999963
16,7128.719999999506
17,4582.060000000056
18,558.3800000003539
19,1313.1699999999255
20,3366.600000000093
21,9925.329999999842
22,4175.210000000196
23,8006.529999999795
24,6056.389999999898
25,1648.0500000000466
26,-7596.2299999997485
27,-1746.0600000002887
28,4563.4900000002235
29,-1746.1500000001397
30,-5619.779999999795
31,18967.560000000056
32,-8296.410000000382
33,2024.5900000000838
34,8534.170000000158
35,-1996.3700000001118
36,1512.8400000000838
37,-101.47999999998137
38,9101.939999999711
39,61.19000000017695
40,16876.419999999925
41,-5737.519999999786
42,10362.159999999916
43,-4906.60999999987
44,284.4399999997113
45,4239.380000000354
46,7059.6699999999255
47,4577.189999999944
48,7891.630000000121
49,13215.759999999776
50,3299.2900000000373
51,7848.489999999991
52,8735.90000000014
53,2248.999999999767
54,-3251.6299999998882
55,-3438.780000000028
56,-2637.3499999998603
57,-1474.8300000003073
58,1543.6000000000931
59,2726.840000000084
60,-6816.409999999916
61,12068.930000000168
