,rewards
0,2902.5918482064735
1,20621.655073742848
2,-1458.4815692252014
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,-2161.5948261395097
51,558.3282500233036
52,-478.69974419730715
53,-12234.258447466418
54,-11056.777003260795
55,17060.723550855648
56,-8744.609344194643
57,-2155.9939428297803
58,3655.0860296124592
59,-15029.801949492656
60,15043.964735613205
61,12361.217697595246
