,rewards
0,-3252.3656133494806
1,4393.917116285302
2,6859.22691510478
3,3444.6888312760275
4,837.084944360191
5,2500.2467808728106
6,-5049.2175822616555
7,-670.2511674887501
8,3728.122938964283
9,-986.294151291484
10,-2754.9253164823167
11,3575.275341149885
12,830.9814680614509
13,1171.1983113966417
14,12030.678202154115
15,1447.7498549646698
16,6583.431477945764
17,-5414.830824083881
18,-3905.4861034057103
19,28282.805554691236
20,-783.5658098836429
21,8240.62847032072
22,4005.8397126090713
23,5367.992145706434
24,174.0909718926996
25,6010.516716514248
26,1251.3546128498856
27,10896.140680177137
28,9091.617769079749
29,5398.899155148305
30,1611.1925581863616
31,3437.013695775764
32,6932.9320660787635
33,727.551168394275
34,1583.0725876912475
35,2204.7126153428108
36,-229.12933578994125
37,-944.3505084074568
38,19329.337879522704
39,-7754.5287488512695
40,3946.80551789375
41,-2130.443670297507
42,414.0203642239794
43,-2928.7305269923527
44,-11.345288790762424
45,4156.158357984154
46,-371.3408882857766
47,-1606.2987982418854
48,11381.424129883759
49,-413.9803055347875
50,-2407.3236044456717
51,6028.7113793233875
52,-13818.656224391423
53,7590.290638674516
54,-3174.747248616535
55,-2162.7324562317226
56,868.6749251622241
57,14547.133991344832
58,-184.87445942522027
59,1052.1268698924687
60,-1702.657019465696
61,-983.2907222602516
