,account_value
0,1555929.125
1,1554910.9849999999
2,1554732.6840000001
3,1554732.6840000001
4,1554732.6840000001
5,1554732.6840000001
6,1554732.6840000001
7,1554732.6840000001
8,1554732.6840000001
9,1554732.6840000001
10,1554732.6840000001
11,1554732.6840000001
12,1554732.6840000001
13,1554732.6840000001
14,1554732.6840000001
15,1554732.6840000001
16,1554732.6840000001
17,1554732.6840000001
18,1554732.6840000001
19,1554732.6840000001
20,1554732.6840000001
21,1554732.6840000001
22,1554732.6840000001
23,1554732.6840000001
24,1554732.6840000001
25,1554732.6840000001
26,1554732.6840000001
27,1554732.6840000001
28,1554395.4050000003
29,1554203.271
30,1554203.271
31,1554203.271
32,1554203.271
33,1554203.271
34,1554203.271
35,1554203.271
36,1554203.271
37,1554203.271
38,1554203.271
39,1554203.271
40,1554203.271
41,1554203.271
42,1554203.271
43,1554203.271
44,1554203.271
45,1554203.271
46,1554203.271
47,1554203.271
48,1554203.271
49,1554203.271
50,1554203.271
51,1554203.271
52,1554203.271
53,1554203.271
54,1554203.271
55,1554203.271
56,1554203.271
57,1554203.271
58,1554203.271
59,1554203.271
60,1554203.271
61,1554203.271
62,1554203.271
