,rewards
0,-6768.419004096417
1,5817.063067817362
2,-1650.370278415503
3,351.7237492483109
4,5361.0034841508605
5,2969.8736300661694
6,6993.464283447014
7,-309.91692657442763
8,-1668.8367218016647
9,5685.401855163276
10,-536.9669692991301
11,-1358.8565698242746
12,969.8220581053756
13,1121.3359896850307
14,5389.932843933348
15,4130.3895404052455
16,-1261.8704883353785
17,279.76599999982864
18,1128.2929999998305
19,2622.6319999999832
20,56.6929999999702
21,-850.3700000001118
22,1628.7610000001732
23,-1170.4887600000948
24,-4966.370000000112
25,-11041.96999999974
26,2526.75
27,8589.929999999935
28,1691.1100000001024
29,2028.6499999999069
30,-14881.879999999888
31,-4406.210000000196
32,1033.4900000002235
33,10697.479999999749
34,-5330.139999999665
35,-4197.310000000289
36,1441.880000000121
37,519.1899999999441
38,4902.589999999851
39,1138.9600000001956
40,173.0199999997858
41,-658.589999999851
42,-13272.360000000102
43,1241.6200000001118
44,-316.3800000001211
45,1371.9000000001397
46,14321.560000000056
47,-658.0600000000559
48,1760.2299999999814
49,2806.0200000000186
50,6846.069999999832
51,1757.2500000002328
52,1735.589999999851
53,1167.1800000001676
54,-4813.5800000000745
55,-561.5300000000279
56,-5415.480000000214
57,-1348.1599999996834
58,2743.3899999998976
59,422.53000000002794
60,205.6799999999348
61,7631.190000000177
