,account_value
0,1512808.5
1,1513723.3897172557
2,1515955.882722779
3,1516873.2300920424
4,1518467.3832934843
5,1519075.3008337573
6,1517414.0512605263
7,1523822.7889399282
8,1528429.003865011
9,1532854.9980191463
10,1553860.7864790335
11,1537099.00330563
12,1548293.345993604
13,1548091.5966729373
14,1563201.9270935347
15,1541827.6475684552
16,1547132.0003327562
17,1566276.1066995799
18,1562325.015843724
19,1560535.2074652717
20,1563855.5756424458
21,1566523.8807619729
22,1564242.8993382456
23,1552860.8495512875
24,1542107.6365424306
25,1537608.5011251592
26,1566045.010315903
27,1573358.8035287128
28,1569670.0612151616
29,1601840.2193502684
30,1605097.0517608707
31,1609692.796062786
32,1596871.0845512042
33,1601106.8477201252
34,1603985.385193754
35,1594840.8476820264
36,1572992.619036349
37,1557169.1653262307
38,1555101.4582497487
39,1541306.363008549
40,1542901.9491877249
41,1533652.2102903228
42,1518602.4855551634
43,1513479.5094809944
44,1535491.525420485
45,1542288.4436004832
46,1554647.7368790724
47,1555062.1551619552
48,1557845.9450271432
49,1568180.67095028
50,1571323.3653175717
51,1561434.196407932
52,1579502.7104087018
53,1548826.1527299176
54,1549003.2493934974
55,1550924.0082704904
56,1545021.2761862199
57,1551648.5472202708
58,1570362.126089327
59,1593261.5691399474
60,1533092.1959640218
61,1531559.1104142226
62,1531559.1104142226
