,account_value
0,1491312.75
1,1488460.999666967
2,1488146.7957464748
3,1488146.7957464748
4,1488146.7957464748
5,1488146.7957464748
6,1488146.7957464748
7,1491229.6073789378
8,1488422.977384638
9,1508780.7634281425
10,1501900.462811881
11,1500690.167662766
12,1500690.167662766
13,1500690.167662766
14,1500690.167662766
15,1500690.167662766
16,1500690.167662766
17,1500690.167662766
18,1500690.167662766
19,1500690.167662766
20,1500690.167662766
21,1500690.167662766
22,1500690.167662766
23,1500690.167662766
24,1500690.167662766
25,1500690.167662766
26,1500690.167662766
27,1500690.167662766
28,1500690.167662766
29,1500690.167662766
30,1500690.167662766
31,1500690.167662766
32,1500690.167662766
33,1500690.167662766
34,1500690.167662766
35,1500690.167662766
36,1500690.167662766
37,1500690.167662766
38,1500690.167662766
39,1500690.167662766
40,1500690.167662766
41,1500690.167662766
42,1500690.167662766
43,1500690.167662766
44,1500690.167662766
45,1500690.167662766
46,1500690.167662766
47,1500690.167662766
48,1500690.167662766
49,1500690.167662766
50,1500690.167662766
51,1500690.167662766
52,1500690.167662766
53,1500690.167662766
54,1500690.167662766
55,1500690.167662766
56,1500690.167662766
57,1513075.6813993403
58,1512808.4608322838
59,1512808.4608322838
60,1512808.4608322838
61,1512808.4608322838
62,1512808.4608322838
