,account_value
0,1529877.5
1,1530289.808275382
2,1530130.3659274464
3,1530130.3659274464
4,1530130.3659274464
5,1530130.3659274464
6,1530130.3659274464
7,1530130.3659274464
8,1530130.3659274464
9,1530130.3659274464
10,1530130.3659274464
11,1530130.3659274464
12,1530130.3659274464
13,1530130.3659274464
14,1530130.3659274464
15,1530130.3659274464
16,1530130.3659274464
17,1530130.3659274464
18,1530130.3659274464
19,1530130.3659274464
20,1530130.3659274464
21,1530130.3659274464
22,1530130.3659274464
23,1530130.3659274464
24,1530130.3659274464
25,1530130.3659274464
26,1530130.3659274464
27,1530130.3659274464
28,1530130.3659274464
29,1530130.3659274464
30,1530130.3659274464
31,1530130.3659274464
32,1530130.3659274464
33,1530130.3659274464
34,1530130.3659274464
35,1530130.3659274464
36,1530130.3659274464
37,1530220.5808306138
38,1530562.5489090853
39,1530425.7792569872
40,1530425.7792569872
41,1530425.7792569872
42,1534199.6928783613
43,1534046.2748497785
44,1534046.2748497785
45,1534046.2748497785
46,1534046.2748497785
47,1534046.2748497785
48,1534046.2748497785
49,1534046.2748497785
50,1534046.2748497785
51,1534046.2748497785
52,1534046.2748497785
53,1534046.2748497785
54,1534046.2748497785
55,1534046.2748497785
56,1534046.2748497785
57,1534046.2748497785
58,1534046.2748497785
59,1534046.2748497785
60,1534046.2748497785
61,1534046.2748497785
62,1534046.2748497785
