,account_value
0,1543493.267578125
1,1534300.289379523
2,1541768.3993810397
3,1557118.229243331
4,1555561.1161231173
5,1555561.1161231173
6,1555561.1161231173
7,1555561.1161231173
8,1556321.450564653
9,1555001.5224273629
10,1555547.4920169264
11,1558108.139611671
12,1558926.3803864133
13,1558533.5811917926
14,1558533.5811917926
15,1558533.5811917926
16,1558533.5811917926
17,1558533.5811917926
18,1557368.0069500664
19,1557257.1361451002
20,1553038.1221681235
21,1556406.7418328424
22,1556159.201445839
23,1555929.0897920732
24,1555929.0897920732
25,1555929.0897920732
26,1555929.0897920732
27,1555929.0897920732
28,1555929.0897920732
29,1555929.0897920732
30,1555929.0897920732
31,1555929.0897920732
32,1555929.0897920732
33,1555929.0897920732
34,1555929.0897920732
35,1555929.0897920732
36,1555929.0897920732
37,1555929.0897920732
38,1555929.0897920732
39,1555929.0897920732
40,1555929.0897920732
41,1555929.0897920732
42,1555929.0897920732
43,1555929.0897920732
44,1555929.0897920732
45,1555929.0897920732
46,1555929.0897920732
47,1555929.0897920732
48,1555929.0897920732
49,1555929.0897920732
50,1555929.0897920732
51,1555929.0897920732
52,1555929.0897920732
53,1555929.0897920732
54,1555929.0897920732
55,1555929.0897920732
56,1555929.0897920732
57,1555929.0897920732
58,1555929.0897920732
59,1555929.0897920732
60,1555929.0897920732
61,1555929.0897920732
62,1555929.0897920732
