,rewards
0,-5287.254195292713
1,-757.0327891134657
2,-1765.7795220345724
3,-1827.3088494588155
4,-7664.706680943724
5,332.3017699280754
6,-7098.894608260598
7,7484.035971682053
8,-7869.007654019399
9,-9155.310499370564
10,10849.523033103906
11,-278.4351736679673
12,12157.597293684725
13,8728.539718226995
14,-3785.3247777223587
15,1856.4615133067127
16,1.8940014536492527
17,12362.022547472967
18,-1240.209026413504
19,-460.4257559387479
20,-447.5902480385266
21,1960.6986768711358
22,-198.91889211535454
23,-302.7191036250442
24,0.0
25,0.0
26,-227.4122057671193
27,-141.3790094484575
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,-11.339172735344619
34,714.8554102864582
35,-247.15632877941243
36,-152.19974538846873
37,-651.2648352433462
38,132.1534353166353
39,1729.224531094078
40,889.8168045254424
41,-40.35988068813458
42,-1162.165549865691
43,184.72921997122467
44,331.96656536404043
45,784.3690080521628
46,-1722.6243387449067
47,2812.295345132472
48,724.0506412531249
49,-1740.0623860682826
50,-1622.1436027772725
51,4744.513365553226
52,-2537.261922156904
53,-2209.6592742772773
54,-2200.109866070561
55,-406.1404602790717
56,710.5339476747904
57,-5550.31035212893
58,3898.973183214199
59,-5991.344076988287
60,-35.0767418993637
61,5913.130975285312
