,rewards
0,-24706.710563324392
1,1818.4484751985874
2,17585.514686355134
3,-4710.260716959136
4,7734.247372020967
5,-3003.5333632053807
6,9096.209565512137
7,7109.496110603912
8,189.08560435962863
9,-4217.803935128264
10,-1127.625202979194
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,667.4860525943805
29,-160.88153247837909
30,-140.50172336003743
31,2141.962469843449
32,-1603.3206142373383
33,69.31371460622177
34,-1973.2941180109046
35,-1765.223981112009
36,-4805.379689760273
37,4343.369111108128
38,-4787.172727030469
39,6898.010901571019
40,5361.346291681752
41,-682.3421006582212
42,10863.072354073636
43,2960.4138918197714
44,2159.374178074766
45,-214.89035445498303
46,-229.33591905143112
47,-4341.1501310020685
48,165.21821286762133
49,-1698.6167184249498
50,-6454.471439031418
51,-10014.325087496778
52,-843.8591458972078
53,-5226.634557314683
54,4965.458794569131
55,-12123.888647636864
56,772.6463287447114
57,-6365.721936021
58,6607.257241207408
59,2113.8114192669746
60,-1050.8270239224657
61,0.0
