,account_value
0,1073221.5216932297
1,1074914.504744736
2,1079308.4218610213
3,1086167.648776126
4,1089612.3376074021
5,1090449.4225517623
6,1092949.6693326351
7,1087900.4517503735
8,1087230.2005828847
9,1090958.323521849
10,1089972.0293705575
11,1087217.1040540752
12,1090792.379395225
13,1091623.3608632865
14,1092794.5591746832
15,1104825.2373768373
16,1106272.987231802
17,1112856.4187097477
18,1107441.5878856638
19,1103536.1017822581
20,1131818.9073369494
21,1131035.3415270657
22,1139275.9699973864
23,1143281.8097099955
24,1148649.801855702
25,1148823.8928275947
26,1154834.409544109
27,1156085.7641569588
28,1166981.904837136
29,1176073.5226062157
30,1181472.421761364
31,1183083.6143195503
32,1186520.628015326
33,1193453.5600814049
34,1194181.1112497991
35,1195764.1838374904
36,1197968.8964528332
37,1197739.7671170433
38,1196795.4166086358
39,1216124.7544881585
40,1208370.2257393072
41,1212317.031257201
42,1210186.5875869035
43,1210600.6079511275
44,1207671.877424135
45,1207660.5321353443
46,1211816.6904933285
47,1211445.3496050427
48,1209839.0508068008
49,1221220.4749366846
50,1220806.4946311498
51,1218399.1710267041
52,1224427.8824060275
53,1210609.226181636
54,1218199.5168203106
55,1215024.769571694
56,1212862.0371154624
57,1213730.7120406246
58,1228277.8460319694
59,1228092.9715725442
60,1229145.0984424367
61,1227442.441422971
62,1226459.1507007107
