,account_value
0,1443399.135526657
1,1446496.9128472756
2,1467118.5679210185
3,1465660.0863517933
4,1465660.0863517933
5,1465660.0863517933
6,1465660.0863517933
7,1465660.0863517933
8,1465660.0863517933
9,1465660.0863517933
10,1465660.0863517933
11,1465660.0863517933
12,1465660.0863517933
13,1465660.0863517933
14,1465660.0863517933
15,1465660.0863517933
16,1465660.0863517933
17,1465660.0863517933
18,1465660.0863517933
19,1465660.0863517933
20,1465660.0863517933
21,1465660.0863517933
22,1465660.0863517933
23,1465660.0863517933
24,1465660.0863517933
25,1465660.0863517933
26,1465660.0863517933
27,1465660.0863517933
28,1465660.0863517933
29,1465660.0863517933
30,1465660.0863517933
31,1465660.0863517933
32,1465660.0863517933
33,1465660.0863517933
34,1465660.0863517933
35,1465660.0863517933
36,1465660.0863517933
37,1465660.0863517933
38,1465660.0863517933
39,1465660.0863517933
40,1465660.0863517933
41,1465660.0863517933
42,1465660.0863517933
43,1465660.0863517933
44,1465660.0863517933
45,1465660.0863517933
46,1465660.0863517933
47,1465660.0863517933
48,1465660.0863517933
49,1465660.0863517933
50,1465660.0863517933
51,1463498.4915256537
52,1464056.819775677
53,1463578.1200314797
54,1451343.8615840133
55,1440287.0845807525
56,1457347.8081316082
57,1448603.1987874135
58,1446447.2048445838
59,1450102.2908741962
60,1435072.4889247036
61,1450116.4536603168
62,1462477.671357912
