,account_value
0,1038992.9285216331
1,1034835.0523579997
2,1020127.0886483848
3,1024707.3227483211
4,1023545.209827708
5,1034634.3029836972
6,1048288.3790859001
7,1049883.2992988788
8,1047254.2200786938
9,1055976.5560255505
10,1061209.6914853565
11,1060835.0547536172
12,1055957.858167889
13,1057574.378796174
14,1058031.0230275413
15,1060039.1546662734
16,1064216.788587579
17,1053712.1172166448
18,1046999.9729331791
19,1055117.464114665
20,1044479.7018775272
21,1039401.3807863392
22,1039061.0871064233
23,1045285.2813788635
24,1043093.3705630759
25,1056347.7808288352
26,1038792.9748519202
27,1041564.1588885667
28,1026501.2587730569
29,1036445.3599679801
30,1027348.76533495
31,1022317.1459018969
32,1026797.149618326
33,1030181.1706676388
34,1030868.0696109002
35,1039935.9666578363
36,1046500.374627243
37,1042369.4446498839
38,1044510.8690305132
39,1036683.3322996637
40,1036490.211320449
41,1037443.8565366118
42,1037131.9522356635
43,1046923.0629453382
44,1048605.5203126327
45,1049757.6615692056
46,1047036.1291229578
47,1039898.0919326057
48,1034044.6140339841
49,1031576.5807315167
50,1029043.8121871437
51,1034860.9267727749
52,1035583.774977069
53,1041442.3620478924
54,1044886.3413975113
55,1043602.2442512694
56,1054674.3900124747
57,1018539.413882831
58,1000320.1034212968
59,1006748.3601895705
60,1025185.3646674202
61,1038075.8375774331
62,1037469.1991795911
