,account_value
0,1000000.0
1,999726.0451008105
2,994850.1622076213
3,984918.5449372943
4,979000.3103336338
5,981044.4309318938
6,984203.1367587766
7,961461.1212005797
8,975586.3364833909
9,951358.9845965083
10,949978.7547678166
11,931319.7102920648
12,936009.0905963463
13,949532.9056919689
14,935054.9158901266
15,947699.4246960072
16,939585.8741739551
17,945624.6135768953
18,969818.5780863462
19,968492.8298985274
20,952367.6244499825
21,963755.7035858961
22,970191.0600995476
23,964163.3130848461
24,950181.8664751851
25,946649.9041829557
26,938973.1017737149
27,920621.196145152
28,945201.2102705647
29,955148.2624877865
30,971171.0061121489
31,967255.0879033279
32,965501.484993037
33,978034.1351100486
34,962370.6339909368
35,964888.0980953473
36,976617.6692144591
37,972408.6136279004
38,966646.4463251701
39,991625.3929558332
40,994071.6284463821
41,997669.6742459622
42,1002072.3791604537
43,1002917.6578493224
44,993238.8825297906
45,997194.6208346211
46,997842.4255360914
47,1011124.7784673844
48,1009410.2570602436
49,1008368.8281583535
50,1010791.9068682243
51,1021801.2822837661
52,1029189.9968892265
53,1029518.4016867062
54,1023621.8207806157
55,1019295.9260791455
56,1021867.2554820859
57,1023715.6458871263
58,1028969.0434778855
59,1033891.5590854462
60,1034108.7288724248
61,1041958.6276783054
62,1038992.9129768353
