,account_value
0,1040245.3288049698
1,1033099.8543769935
2,1043285.7904229035
3,1048477.2906078132
4,1044487.9368720613
5,1057226.4742120416
6,1048950.3124945038
7,1044437.0196209077
8,1039803.4100304531
9,1042677.8896256399
10,1041188.798265401
11,1042825.3241701572
12,1043152.4883386818
13,1041663.5932373665
14,1046383.727586955
15,1054792.5791996135
16,1054798.6727259948
17,1051400.9108073849
18,1048862.5320132182
19,1039515.8990900547
20,1036328.9300737912
21,1030632.1788773697
22,1027815.2958913663
23,1023539.8908913226
24,1018712.7767487004
25,1039222.3968536516
26,1041814.4494745721
27,1050500.8081624967
28,1037429.5650517449
29,1036458.7291132195
30,1023165.2058588201
31,1033433.2800754778
32,1041841.27215205
33,1039595.3265705316
34,1037362.9530831658
35,1045227.2182342155
36,1042238.690940036
37,1038377.9637185296
38,1044207.0589398455
39,1040688.6552635442
40,1039748.0456451165
41,1032816.8015972917
42,1024472.2343081854
43,1026283.327364384
44,1028297.0420999554
45,1030385.1019604168
46,1040386.981226613
47,1043916.2615074309
48,1057884.7330129459
49,1061892.1464756315
50,1075535.070480253
51,1072508.8024336002
52,1077337.2599619816
53,1076821.6999821232
54,1085097.549245734
55,1085269.6748835517
56,1084692.5399622868
57,1081817.444174323
58,1082867.0441010804
59,1086704.650407233
60,1080976.184724555
61,1081233.316094489
62,1073221.53019361
