,account_value
0,1462477.6932373047
1,1448606.251730606
2,1450424.7002058045
3,1468010.2148921597
4,1463299.9541752005
5,1471034.2015472215
6,1468030.6681840161
7,1477126.8777495283
8,1484236.3738601322
9,1484425.4594644918
10,1480207.6555293635
11,1479080.0303263844
12,1479080.0303263844
13,1479080.0303263844
14,1479080.0303263844
15,1479080.0303263844
16,1479080.0303263844
17,1479080.0303263844
18,1479080.0303263844
19,1479080.0303263844
20,1479080.0303263844
21,1479080.0303263844
22,1479080.0303263844
23,1479080.0303263844
24,1479080.0303263844
25,1479080.0303263844
26,1479080.0303263844
27,1479080.0303263844
28,1479080.0303263844
29,1479747.5163789787
30,1479586.6348465004
31,1479446.1331231403
32,1481588.0955929838
33,1479984.7749787464
34,1480054.0886933526
35,1478080.7945753417
36,1476315.5705942297
37,1471510.1909044695
38,1475853.5600155776
39,1471066.3872885471
40,1477964.3981901181
41,1483325.7444818
42,1482643.4023811417
43,1493506.4747352153
44,1496466.888627035
45,1498626.2628051098
46,1498411.3724506549
47,1498182.0365316034
48,1493840.8864006014
49,1494006.104613469
50,1492307.487895044
51,1485853.0164560126
52,1475838.6913685158
53,1474994.8322226186
54,1469768.197665304
55,1474733.656459873
56,1462609.7678122362
57,1463382.414140981
58,1457016.69220496
59,1463623.9494461673
60,1465737.7608654343
61,1464686.9338415118
62,1464686.9338415118
