,account_value
0,1464686.875
1,1465048.576
2,1471223.693
3,1473688.611
4,1465337.6320000002
5,1473897.6840000004
6,1481644.9790000003
7,1481631.7906600002
8,1481974.2106600003
9,1488362.3206600004
10,1480236.0106600004
11,1479320.5006600004
12,1476898.0306600002
13,1488985.6806600003
14,1500471.63066
15,1509336.1206600002
16,1505239.2906600002
17,1500947.8106600002
18,1506900.5106600001
19,1500594.2506600004
20,1499093.6857500002
21,1499093.6857500002
22,1499093.6857500002
23,1499093.6857500002
24,1499093.6857500002
25,1499093.6857500002
26,1499093.6857500002
27,1499093.6857500002
28,1499093.6857500002
29,1499093.6857500002
30,1499093.6857500002
31,1499093.6857500002
32,1499093.6857500002
33,1499093.6857500002
34,1499093.6857500002
35,1498019.2507500001
36,1499912.6547499998
37,1507749.9947499998
38,1509043.6437499998
39,1509984.9097499996
40,1502491.93975
41,1501065.3737500003
42,1501065.3737500003
43,1501473.7757500003
44,1500593.5317500005
45,1498456.6087500006
46,1496495.3187500008
47,1500883.4597500009
48,1499694.539750001
49,1499694.539750001
50,1499694.539750001
51,1499694.539750001
52,1500990.450750001
53,1500750.827750001
54,1502533.4017500011
55,1502477.9517500007
56,1498604.4077500007
57,1495522.0737500004
58,1489435.4497500004
59,1492758.9947500003
60,1491312.70075
61,1491312.70075
62,1491312.70075
