,account_value
0,1509714.25
1,1508619.801299581
2,1512846.7331339642
3,1515947.5255953744
4,1511293.6744257344
5,1525056.0856168629
6,1517820.999225382
7,1528268.58033743
8,1527609.9717599053
9,1525627.620346608
10,1520276.9784248096
11,1531453.5818159275
12,1531624.7448208593
13,1535018.2090828475
14,1536692.8503162204
15,1532593.233000578
16,1543318.5025863973
17,1537490.095901965
18,1525693.5724088727
19,1523296.8439984655
20,1528439.9523379633
21,1519525.6122090812
22,1524787.7780880793
23,1535941.296975907
24,1533774.7139319722
25,1516505.9725082023
26,1503055.3102138091
27,1513839.5552715496
28,1524652.917681897
29,1554806.6010883527
30,1545924.3171183588
31,1555718.7466561967
32,1552094.167931614
33,1556113.7587517533
34,1557332.2170344112
35,1577880.206606347
36,1578374.4527289653
37,1581404.7771392819
38,1583080.120025768
39,1591378.0185950175
40,1604951.4541312386
41,1604349.4516115612
42,1627134.174067026
43,1637822.6930191936
44,1627505.0552396078
45,1620798.4149198376
46,1560080.1714700377
47,1570546.8854867332
48,1578698.740560089
49,1605977.764858121
50,1598437.0869479966
51,1601777.4558062546
52,1583863.3704050756
53,1614632.3391359516
54,1602456.6086659941
55,1577267.2510265294
56,1584693.6817390902
57,1557932.5107950922
58,1578026.5284051136
59,1594129.9960601174
60,1606024.371857906
61,1605020.2360760572
62,1636066.1896317112
