,account_value
0,1241359.875
1,1243432.8097053573
2,1243339.9619310754
3,1243339.9619310754
4,1244084.0691882572
5,1243985.5897348057
6,1243985.5897348057
7,1247150.1475215242
8,1247005.828628921
9,1247005.828628921
10,1247005.828628921
11,1245919.4412596547
12,1245545.3158669542
13,1248962.5739355548
14,1251089.2190059784
15,1247278.1361589716
16,1245289.1227845761
17,1251972.0605366789
18,1252225.4855136862
19,1251400.3706169343
20,1258980.8302421123
21,1260512.7089906265
22,1259322.5637672932
23,1258559.553872173
24,1259885.437892457
25,1261382.9021567532
26,1264956.3492223453
27,1264971.2114701509
28,1265397.609311339
29,1269235.3291874398
30,1268698.7502683385
31,1268698.7502683385
32,1268698.7502683385
33,1269767.9726107204
34,1269568.6857010964
35,1269568.6857010964
36,1269017.4600147132
37,1269907.9890397391
38,1271312.9117381233
39,1271054.697489798
40,1270930.0133797384
41,1270498.1357624657
42,1267219.3021248924
43,1267107.826761418
44,1272376.0602832832
45,1276505.8237801436
46,1278551.5548929826
47,1278614.650236912
48,1278544.394205963
49,1286809.1921809572
50,1291677.5570288673
51,1290078.3757329364
52,1300569.6400205796
53,1291067.1830907562
54,1292900.1303327861
55,1305836.4642233641
56,1307790.1703233477
57,1314411.437522622
58,1325825.097914881
59,1332219.8682780329
60,1329227.2685451016
61,1333605.0680989693
62,1332845.8532497145
