,rewards
0,6410.742179136723
1,14096.317442035768
2,4028.088420846034
3,-1120.058241869323
4,999.3998910435475
5,12609.155527652474
6,3819.4698163715657
7,-6697.395107172895
8,14044.813932198333
9,1312.5038131868932
10,10350.22488534893
11,6836.663158237934
12,-4020.342062016716
13,-3451.136230698321
14,1007.3262532590888
15,14389.737227138365
16,-9116.13611589768
17,-20070.599434077973
18,-2425.056553109549
19,5534.909942388535
20,-26482.772062276024
21,-56945.920869213995
22,25061.97841155459
23,1345.9819972843397
24,-54425.66252781078
25,20866.500998379895
26,14938.630697962828
27,3951.7712800728623
28,6394.345882525668
29,11121.331971389474
30,2474.7382715896238
31,-8085.088759839768
32,-9560.961305873701
33,3657.626352254534
34,17249.86243113363
35,13475.1559800338
36,-14139.499495907687
37,-8894.710475587286
38,-16287.009511589771
39,136.10950624989346
40,15458.03055759077
41,-3583.1129361626226
42,3348.295784288319
43,7510.31728089042
44,22587.13082627952
45,-4611.36260920926
46,-4486.761331088375
47,-6556.1973967826925
48,6099.6354655446485
49,7174.401695147157
50,-20124.967652793042
51,359.73725550761446
52,-7679.836054270389
53,-27650.08022262552
54,-23893.056151597062
55,31355.356345378095
56,-19746.74009753205
57,-3207.768062655814
58,16297.242310691625
59,-25907.422243179986
60,16602.57862579217
61,13055.44296595687
