,rewards
0,-4601.294456597883
1,5562.294995715842
2,-4880.321177280508
3,-7758.532932332717
4,6729.969089337625
5,2245.9665300175548
6,50.164317989489064
7,-4209.66812514863
8,-14511.797080055345
9,5749.550362940645
10,-20647.396212160587
11,-9987.878410348669
12,-6843.443335163873
13,12716.70432024775
14,-2994.862027162453
15,1837.4290866933297
16,8900.692620814545
17,-5628.565593191888
18,4229.947994244751
19,4109.350431058556
20,-4221.019887757488
21,608.5239621361252
22,-3252.88047614065
23,-8884.38989065797
24,-68.94177364464849
25,-26070.860678148223
26,9629.824469464831
27,4477.341524116928
28,-3112.482024906669
29,2406.113160052104
30,-18324.03793358151
31,-6773.0993133364245
32,-4947.136160776252
33,7979.082939350745
34,-12674.378920983989
35,4098.329332801979
36,6342.4794465503655
37,10451.678185557015
38,3332.595095115714
39,16674.597438093042
40,85.83309131977148
41,1455.853175139986
42,-13864.499186399626
43,11240.261832375545
44,7210.107344924705
45,-20975.725333743263
46,17634.7596054764
47,9384.52758630598
48,-1632.2805456710048
49,-790.1589461555704
50,6930.383751721587
51,-10127.92334197089
52,4295.189534037607
53,14631.692167814355
54,-5378.53774307319
55,7730.622814979637
56,-15879.034104129067
57,-2500.3787545706145
58,2932.6177924515214
59,8177.853254873771
60,-2507.8744323386345
61,-3624.6007188125513
