,account_value
0,1155565.526855439
1,1159567.046048687
2,1169318.118452143
3,1168606.0408122505
4,1160245.4159499134
5,1166196.7778706958
6,1166542.7039492996
7,1173135.8274682204
8,1182979.6629473006
9,1174971.1686294673
10,1174044.258048497
11,1162665.1971399854
12,1170299.7007045588
13,1172782.8589373122
14,1169922.827616951
15,1173895.841885122
16,1150976.8515846906
17,1157808.8677884124
18,1175528.9026362665
19,1173303.533365123
20,1166988.0386293544
21,1162186.8406728578
22,1167328.4834417547
23,1168221.9395773308
24,1166078.8519170345
25,1164223.2447757577
26,1167597.6620266656
27,1153294.1554742884
28,1156915.7656328152
29,1162246.2668403797
30,1162988.4933045974
31,1151957.787599448
32,1160089.1323471747
33,1154245.2556105054
34,1154316.2173199214
35,1156046.3393145679
36,1156310.440463256
37,1156432.406976809
38,1157235.2327109051
39,1170843.4599067033
40,1171137.9765781718
41,1188283.8075225865
42,1185008.5786157467
43,1184364.8083159537
44,1187727.7455323376
45,1189759.8278692407
46,1203350.7070485337
47,1211580.1448977583
48,1213160.8894820712
49,1216171.005197923
50,1218617.1779453573
51,1209411.7160644599
52,1219875.442638279
53,1223544.4002388578
54,1220283.2580907843
55,1228114.2378155757
56,1223975.119085913
57,1220380.5352726076
58,1219080.398504533
59,1221702.205798878
60,1219885.2344927113
61,1215113.1279758203
62,1236241.584050081
