,account_value
0,1113919.4994186163
1,1132181.1422851584
2,1139877.579250207
3,1146516.582052423
4,1143456.92740852
5,1159555.3769077365
6,1157797.697001633
7,1150190.190255966
8,1154516.5843624903
9,1147330.823320941
10,1150530.8790879864
11,1152819.0544861685
12,1149942.1778077502
13,1149431.1222407182
14,1148281.696109252
15,1148281.696109252
16,1147949.415194126
17,1147881.0140182835
18,1147881.0140182835
19,1147881.0140182835
20,1147473.9514363229
21,1147386.3092461086
22,1147386.3092461086
23,1147386.3092461086
24,1147386.3092461086
25,1147386.3092461086
26,1148721.41755339
27,1149225.9869304656
28,1149968.2619860177
29,1151361.3725740258
30,1154836.1624207608
31,1155915.5997270518
32,1158501.060420679
33,1163476.4700025117
34,1161721.9682435966
35,1153446.5151678394
36,1154620.6975556703
37,1162170.1426111767
38,1154433.4594937067
39,1161394.7082404154
40,1148693.7946626737
41,1150148.7623151469
42,1148833.5330218873
43,1144888.8243672368
44,1140012.6298924577
45,1141354.5077500327
46,1142566.8281137075
47,1144283.1577032201
48,1139518.089748077
49,1147013.8125656154
50,1145998.1337877319
51,1151729.4095540743
52,1152008.1022785592
53,1142287.0626950965
54,1149008.285821179
55,1147524.8998702527
56,1144043.3843839355
57,1142902.2269256639
58,1157433.7581193403
59,1162358.7429197954
60,1173587.3807130367
61,1167184.780801246
62,1169778.105894818
