,rewards
0,-8661.608942357823
1,6557.54317022441
2,-3526.333323619794
3,-904.4621634504292
4,-997.5965058533475
5,-12565.569427688606
6,-159.3933603684418
7,-2385.1691676410846
8,-2921.0082472199574
9,-2518.8787680505775
10,-1267.7307178417686
11,4100.8378703542985
12,-1425.3918572936673
13,-3041.3700545979664
14,2752.6915044274647
15,29953.02259545098
16,-6423.001314575551
17,4808.15489536128
18,-2038.5685366475955
19,-5489.859648855869
20,-5506.859121890506
21,-1115.7713883304968
22,-14956.759449290577
23,-6613.236357611837
24,20436.165667940862
25,1195.7943947841413
26,43820.51951866853
27,19835.245695119025
28,3058.6879698627163
29,-1155.1818269516807
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,-527.6508212324698
36,1238.6746510742232
37,1081.8588137864135
38,-6339.223976492882
39,-2663.0383145329542
40,-1791.5542165280785
41,1629.1077836037148
42,-873.0696376084816
43,-876.9860507249832
44,-29505.418714595726
45,11140.059996893862
46,-6766.4709396362305
47,3297.24590921402
48,6635.674870014191
49,-3329.949406147003
50,-4691.847952365875
51,8817.863795757294
52,5078.790125846863
53,-984.1830730438232
54,3387.516170501709
55,-1493.5731716156006
56,-706.408450126648
57,-2114.433995246887
58,1793.857792854309
59,-10538.543552398682
60,-7817.400968551636
61,-3188.45415019989
