,rewards
0,620.4720597325359
1,-631.3075130272191
2,-1749.9328036289662
3,6888.568183145486
4,5466.888484792784
5,-7144.8051374512725
6,-13389.781730028102
7,10390.160619735718
8,-14510.675149917603
9,-116.19719886779785
10,-1186.72731590271
11,37604.026849746704
12,2773.861265182495
13,3737.789560317993
14,21480.936307907104
15,-10604.605419158936
16,-21828.735692977905
17,-165.2777099609375
18,-2740.264741897583
19,-33272.79972076416
20,23277.46971511841
21,9662.224031448364
22,32780.233880996704
23,-3463.3162536621094
24,-12295.725002288818
25,12553.022617340088
26,-38004.11336231232
27,18190.97774219513
28,15892.37426185608
29,12374.379192352295
30,-3428.5538330078125
31,13202.89698600769
32,-5515.10258102417
33,-34112.05946922302
34,26872.254999160767
35,10892.61715221405
36,1738.2622318267822
37,9674.001058578491
38,-2570.0066089630127
39,-9692.381876945496
40,20553.631878852844
41,7454.498973846436
42,-1924.8987045288086
43,-10979.642880439758
44,-43083.827761650085
45,10159.52420425415
46,12053.628190994263
47,-12526.129997253418
48,8985.666704177856
49,23774.362817764282
50,7016.502408981323
51,-2532.7568712234497
52,-5731.578381538391
53,9105.325589179993
54,-18032.698019981384
55,705.0366582870483
56,-4001.224238395691
57,-14859.703492164612
58,20535.139987945557
59,-15025.840403556824
60,-26580.505118370056
61,12310.415393829346
