,account_value
0,1192207.3984375
1,1188795.8943861756
2,1194358.1893818914
3,1189477.868204611
4,1181719.3352722782
5,1188449.3043616158
6,1190695.2708916334
7,1190745.4352096228
8,1186535.7670844742
9,1172023.9700044189
10,1177773.5203673595
11,1157126.124155199
12,1147138.2457448503
13,1140294.8024096864
14,1153011.5067299341
15,1150016.6447027717
16,1151854.073789465
17,1160754.7664102796
18,1155126.2008170877
19,1159356.1488113324
20,1163465.499242391
21,1159244.4793546335
22,1159853.0033167696
23,1156600.122840629
24,1147715.732949971
25,1147646.7911763263
26,1121575.9304981781
27,1131205.754967643
28,1135683.0964917599
29,1132570.6144668532
30,1134976.7276269053
31,1116652.6896933238
32,1109879.5903799874
33,1104932.4542192111
34,1112911.5371585619
35,1100237.1582375779
36,1104335.4875703799
37,1110677.9670169302
38,1121129.6452024872
39,1124462.240297603
40,1141136.837735696
41,1141222.6708270158
42,1142678.5240021558
43,1128814.0248157561
44,1140054.2866481317
45,1147264.3939930564
46,1126288.668659313
47,1143923.4282647895
48,1153307.9558510955
49,1151675.6753054245
50,1150885.516359269
51,1157815.9001109905
52,1147687.9767690196
53,1151983.1663030572
54,1166614.8584708716
55,1161236.3207277984
56,1168966.943542778
57,1153087.909438649
58,1150587.5306840783
59,1153520.1484765299
60,1161698.0017314036
61,1159190.127299065
62,1155565.5265802525
