,rewards
0,9282.532333781477
1,7696.436965048546
2,6639.002802215982
3,-3059.6546439030208
4,16098.44949921663
5,-1757.6799061035272
6,-7607.506745666964
7,4326.394106524298
8,-7185.761041549267
9,3200.0557670453563
10,2288.175398182124
11,-2876.876678418368
12,-511.0555670319591
13,-1149.4261314661708
14,0.0
15,-332.28091512597166
16,-68.40117584262043
17,0.0
18,0.0
19,-407.0625819605775
20,-87.64219021424651
21,0.0
22,0.0
23,0.0
24,0.0
25,1335.1083072812762
26,504.56937707564794
27,742.2750555521343
28,1393.1105880080722
29,3474.789846735075
30,1079.437306290958
31,2585.4606936271302
32,4975.409581832821
33,-1754.5017589151394
34,-8275.45307575725
35,1174.1823878309224
36,7549.445055506425
37,-7736.6831174700055
38,6961.248746708734
39,-12700.91357774171
40,1454.967652473133
41,-1315.2292932595592
42,-3944.708654650487
43,-4876.194474779069
44,1341.8778575749602
45,1212.3203636747785
46,1716.3295895126648
47,-4765.067955143051
48,7495.722817538306
49,-1015.6787778835278
50,5731.275766342413
51,278.6927244849503
52,-9721.039583462756
53,6721.223126082448
54,-1483.3859509262256
55,-3481.515486317221
56,-1141.1574582715984
57,14531.531193676405
58,4924.98480045516
59,11228.637793241302
60,-6402.599911790807
61,2593.325093572028
