,datadate,tic,adx,adjcp,cci,macd,rsi,turbulence
0,20090616,BMY,11.374067121006291,11.622614860534668,-120.62166715176998,-0.2251791826374969,43.60411528602469,0.0
1,20090616,CAT,25.546133642041653,23.93297576904297,-46.55998131076957,0.0555938313810955,37.65517737586448,0.0
2,20090616,CMG,10.229933341228534,78.5999984741211,-39.831922788617746,1.922412571258434,42.78183595511183,0.0
3,20090616,DAL,21.556810419194733,5.421638011932373,-48.91392763004512,-0.0156560027486882,39.603493903753034,0.0
4,20090616,EA,22.906997198889822,20.399253845214844,-164.19421259780313,0.2532418044441158,41.70160343728005,0.0
5,20090616,EBAY,13.406360453441344,6.644090175628662,-79.63850028408777,0.0638656180926515,46.267579332152096,0.0
6,20090616,FCX,12.314033452567688,19.235328674316406,-15.382057762219754,1.4841404702025187,44.84007941564348,0.0
7,20090616,FDX,12.896888879731412,44.116512298583984,-145.16810053629536,-0.3523320633365188,31.086174384906,0.0
8,20090616,FSLR,11.04381809937454,172.0399932861328,-143.6118765383029,-3.1077880697469595,35.86302230134356,0.0
9,20090616,GILD,15.41208586243868,16.246944427490234,52.18645023104709,0.165228563049844,51.0496671336169,0.0
10,20090616,GPS,20.88193591015678,10.067863464355469,-107.1825699082272,0.0348367300561314,39.29867895594847,0.0
11,20090616,HD,15.441403332558728,16.26011085510254,-60.16097674180073,-0.1882689670720587,36.5272332000053,0.0
12,20090616,JNJ,10.999925888015852,35.16275405883789,-82.5205170378215,0.1414945392250288,45.48525837949328,0.0
13,20090616,KO,62.71291473340484,15.15570831298828,-14.073905677458615,0.6453141514498135,57.83259530945087,0.0
14,20090616,LLY,9.211083887684998,21.236854553222656,-217.62070786546545,-0.4390563167324259,39.45476474939248,0.0
15,20090616,LMT,25.10435956314645,51.41862487792969,-58.064449531596125,0.6385631846465714,47.55033595552875,0.0
16,20090616,M,15.34181094287019,6.99857759475708,-92.10499213930504,0.0396416216555994,36.34694778216359,0.0
17,20090616,MA,17.719249019562586,15.14383029937744,-135.95239749651083,-0.2667044319117302,36.20539532974395,0.0
18,20090616,MCD,38.098055608307526,37.76336288452149,-51.44150541798594,1.1860334552584106,50.08197981833946,0.0
19,20090616,MRK,22.88123454400052,14.095046043395996,-183.91447081049495,-0.0686799323154225,38.601986562705115,0.0
